model,arm,dom,state,scenario,year,agc_TgC_point,pred_cv,agc_TgC_lo,agc_TgC_hi
FVS,fvs_conus_speciesdep,33,NH,reserve,2050,268.643,0.124300432586062,213.712,323.574
FVS,fvs_conus_speciesdep,33,NH,reserve,2075,352.993,0.124171363361953,280.89,425.096
FVS,fvs_conus_speciesdep,33,NH,reserve,2100,408.512,0.123519050043575,325.507,491.517
FVS,fvs_conus_speciesdep,34,NJ,reserve,2025,59.18,0.121656669047792,47.337,71.023
FVS,fvs_conus_speciesdep,34,NJ,reserve,2050,115.942,0.124300432586062,92.235,139.649
FVS,fvs_conus_speciesdep,34,NJ,reserve,2075,154.702,0.124171363361953,123.102,186.302
FVS,fvs_conus_speciesdep,34,NJ,reserve,2100,176.373,0.123519050043575,140.536,212.21
FVS,fvs_conus_speciesdep,35,NM,reserve,2025,160.7,0.121656669047792,128.54,192.86
FVS,fvs_conus_speciesdep,35,NM,reserve,2050,368.094,0.124300432586062,292.828,443.36
FVS,fvs_conus_speciesdep,35,NM,reserve,2075,588.732,0.124171363361953,468.476,708.988
FVS,fvs_conus_speciesdep,35,NM,reserve,2100,762.945,0.123519050043575,607.923,917.967
FVS,fvs_conus_speciesdep,32,NV,reserve,2025,54.14,0.121656669047792,43.305,64.975
FVS,fvs_conus_speciesdep,32,NV,reserve,2050,129.523,0.124300432586062,103.039,156.007
FVS,fvs_conus_speciesdep,32,NV,reserve,2075,205.114,0.124171363361953,163.217,247.011
FVS,fvs_conus_speciesdep,32,NV,reserve,2100,379.91,0.123519050043575,302.717,457.103
FVS,fvs_conus_speciesdep,36,NY,reserve,2025,592.43,0.121656669047792,473.87,710.99
FVS,fvs_conus_speciesdep,36,NY,reserve,2050,1056.957,0.124300432586062,840.837,1273.077
FVS,fvs_conus_speciesdep,36,NY,reserve,2075,1399.734,0.124171363361953,1113.822,1685.646
FVS,fvs_conus_speciesdep,36,NY,reserve,2100,1629.196,0.123519050043575,1298.162,1960.23
FVS,fvs_conus_speciesdep,39,OH,reserve,2025,250.86,0.121656669047792,200.657,301.063
FVS,fvs_conus_speciesdep,39,OH,reserve,2050,428.768,0.124300432586062,341.096,516.44
FVS,fvs_conus_speciesdep,39,OH,reserve,2075,549.461,0.124171363361953,437.227,661.695
FVS,fvs_conus_speciesdep,39,OH,reserve,2100,603.5,0.123519050043575,480.876,726.124
FVS,fvs_conus_speciesdep,40,OK,reserve,2025,177.51,0.121656669047792,141.986,213.034
FVS,fvs_conus_speciesdep,40,OK,reserve,2050,384.596,0.124300432586062,305.956,463.236
FVS,fvs_conus_speciesdep,40,OK,reserve,2075,523.528,0.124171363361953,416.591,630.465
FVS,fvs_conus_speciesdep,40,OK,reserve,2100,598.653,0.123519050043575,477.013,720.293
FVS,fvs_conus_speciesdep,41,OR,reserve,2025,1022.66,0.121656669047792,818,1227.32
FVS,fvs_conus_speciesdep,41,OR,reserve,2050,2313.613,0.124300432586062,1840.539,2786.687
FVS,fvs_conus_speciesdep,41,OR,reserve,2075,3366.172,0.124171363361953,2678.591,4053.753
FVS,fvs_conus_speciesdep,41,OR,reserve,2100,4093.683,0.123519050043575,3261.892,4925.474
FVS,fvs_conus_speciesdep,42,PA,reserve,2025,551.02,0.121656669047792,440.747,661.293
FVS,fvs_conus_speciesdep,42,PA,reserve,2050,857.249,0.124300432586062,681.964,1032.534
FVS,fvs_conus_speciesdep,42,PA,reserve,2075,1069.991,0.124171363361953,851.433,1288.549
FVS,fvs_conus_speciesdep,42,PA,reserve,2100,1168.354,0.123519050043575,930.958,1405.75
FVS,fvs_conus_speciesdep,44,RI,reserve,2025,12.75,0.121656669047792,10.198,15.302
FVS,fvs_conus_speciesdep,44,RI,reserve,2050,22.378,0.124300432586062,17.802,26.954
FVS,fvs_conus_speciesdep,44,RI,reserve,2075,28.544,0.124171363361953,22.714,34.374
FVS,fvs_conus_speciesdep,44,RI,reserve,2100,32.294,0.123519050043575,25.732,38.856
FVS,fvs_conus_speciesdep,45,SC,reserve,2025,325.11,0.121656669047792,260.047,390.173
FVS,fvs_conus_speciesdep,45,SC,reserve,2050,503.671,0.124300432586062,400.683,606.659
FVS,fvs_conus_speciesdep,45,SC,reserve,2075,609.744,0.124171363361953,485.197,734.291
FVS,fvs_conus_speciesdep,45,SC,reserve,2100,659.918,0.123519050043575,525.83,794.006
FVS,fvs_conus_speciesdep,46,SD,reserve,2025,22.21,0.121656669047792,17.765,26.655
FVS,fvs_conus_speciesdep,46,SD,reserve,2050,34.463,0.124300432586062,27.416,41.51
FVS,fvs_conus_speciesdep,46,SD,reserve,2075,44.755,0.124171363361953,35.613,53.897
FVS,fvs_conus_speciesdep,46,SD,reserve,2100,38.553,0.123519050043575,30.719,46.387
FVS,fvs_conus_speciesdep,47,TN,reserve,2025,461.09,0.121656669047792,368.814,553.366
FVS,fvs_conus_speciesdep,47,TN,reserve,2050,684.939,0.124300432586062,544.887,824.991
FVS,fvs_conus_speciesdep,47,TN,reserve,2075,841.215,0.124171363361953,669.387,1013.043
FVS,fvs_conus_speciesdep,47,TN,reserve,2100,827.644,0.123519050043575,659.476,995.812
FVS,fvs_conus_speciesdep,48,TX,reserve,2025,479.11,0.121656669047792,383.228,574.992
FVS,fvs_conus_speciesdep,48,TX,reserve,2050,694.523,0.124300432586062,552.511,836.535
FVS,fvs_conus_speciesdep,48,TX,reserve,2075,850.701,0.124171363361953,676.935,1024.467
FVS,fvs_conus_speciesdep,48,TX,reserve,2100,910.829,0.123519050043575,725.759,1095.899
FVS,fvs_conus_speciesdep,49,UT,reserve,2025,133.07,0.121656669047792,106.439,159.701
FVS,fvs_conus_speciesdep,49,UT,reserve,2050,222.657,0.124300432586062,177.129,268.185
FVS,fvs_conus_speciesdep,49,UT,reserve,2075,306.338,0.124171363361953,243.765,368.911
FVS,fvs_conus_speciesdep,49,UT,reserve,2100,433.321,0.123519050043575,345.275,521.367
FVS,fvs_conus_speciesdep,51,VA,reserve,2025,548.81,0.121656669047792,438.979,658.641
FVS,fvs_conus_speciesdep,51,VA,reserve,2050,729.647,0.124300432586062,580.453,878.841
FVS,fvs_conus_speciesdep,51,VA,reserve,2075,849.492,0.124171363361953,675.973,1023.011
FVS,fvs_conus_speciesdep,51,VA,reserve,2100,858.944,0.123519050043575,684.416,1033.472
FVS,fvs_conus_speciesdep,50,VT,reserve,2025,142.9,0.121656669047792,114.302,171.498
FVS,fvs_conus_speciesdep,50,VT,reserve,2050,249.873,0.124300432586062,198.78,300.966
FVS,fvs_conus_speciesdep,50,VT,reserve,2075,333.181,0.124171363361953,265.125,401.237
FVS,fvs_conus_speciesdep,50,VT,reserve,2100,392.484,0.123519050043575,312.736,472.232
FVS,fvs_conus_speciesdep,53,WA,reserve,2025,818.67,0.121656669047792,654.833,982.507
FVS,fvs_conus_speciesdep,53,WA,reserve,2050,1751.46,0.124300432586062,1393.332,2109.588
FVS,fvs_conus_speciesdep,53,WA,reserve,2075,2505.878,0.124171363361953,1994.023,3017.733
FVS,fvs_conus_speciesdep,53,WA,reserve,2100,3052.377,0.123519050043575,2432.168,3672.586
FVS,fvs_conus_speciesdep,55,WI,reserve,2025,396.22,0.121656669047792,316.926,475.514
FVS,fvs_conus_speciesdep,55,WI,reserve,2050,620.099,0.124300432586062,493.305,746.893
FVS,fvs_conus_speciesdep,55,WI,reserve,2075,774.59,0.124171363361953,616.371,932.809
FVS,fvs_conus_speciesdep,55,WI,reserve,2100,873.919,0.123519050043575,696.348,1051.49
FVS,fvs_conus_speciesdep,54,WV,reserve,2025,438.59,0.121656669047792,350.817,526.363
FVS,fvs_conus_speciesdep,54,WV,reserve,2050,748.612,0.124300432586062,595.54,901.684
FVS,fvs_conus_speciesdep,54,WV,reserve,2075,977.287,0.124171363361953,777.665,1176.909
FVS,fvs_conus_speciesdep,54,WV,reserve,2100,1129.323,0.123519050043575,899.857,1358.789
FVS,fvs_conus_speciesdep,56,WY,reserve,2025,131.59,0.121656669047792,105.256,157.924
FVS,fvs_conus_speciesdep,56,WY,reserve,2050,223.419,0.124300432586062,177.736,269.102
FVS,fvs_conus_speciesdep,56,WY,reserve,2075,301.2,0.124171363361953,239.676,362.724
FVS,fvs_conus_speciesdep,56,WY,reserve,2100,359.464,0.123519050043575,286.425,432.503
