state,year,n_models,ens_equal,ens_geom,ens_benchmark,median,between_sd,within_sd,anchor_se,lo90,hi90,crI_rel_pct
OH,2050,5,353,337.3,369.4,319.4,114.8,15,6.3,162.2,543.7,54
OH,2075,5,417.1,378.1,444.8,361,188.6,18.2,7.1,105.2,729,74.8
OH,2100,5,455.5,397.2,489.6,402.3,237.7,19.8,7.9,63,848.1,86.2
OK,2025,4,177.5,177.5,177.5,177.5,0,7.8,2.6,163.9,191.1,7.7
OK,2050,4,270,256.9,286.5,271.8,93.2,14.7,4.1,114.7,425.3,57.5
OK,2075,4,324.3,288.3,352.5,327.6,161.8,19.1,4.9,56.2,592.3,82.7
OK,2100,4,349.9,295.8,384.1,352.9,203.1,21.3,5.3,13.9,685.9,96
OR,2025,3,1022.7,1022.7,1022.7,1022.7,0,101,9,855.9,1189.4,16.3
OR,2050,3,1519.9,1440.3,1373.2,1213.5,638.2,146.3,10.7,442.7,2597,70.9
OR,2075,3,1855.2,1657,1595.3,1309.9,1130.3,179.1,11.5,0,3737.8,101.5
OR,2100,3,2001.6,1717.7,1676.4,1313.5,1414,197.9,11.6,0,4350.4,117.3
PA,2025,4,551,551,551,551,0,36.2,6,490.7,611.3,10.9
PA,2050,4,646.7,627,679.1,657.2,177.2,47.8,7.2,344.5,948.9,46.7
PA,2075,4,700.5,645.8,753.6,706.9,299.3,55.6,7.7,199.6,1201.5,71.5
PA,2100,4,715.9,634.7,778.4,717.4,363.9,59.5,7.8,109.3,1322.6,84.7
RI,2025,4,12.8,12.7,12.8,12.8,0,0.9,0.7,10.9,14.6,14.3
RI,2050,4,15.3,14.7,16,14.4,5.1,1.2,0.8,6.6,24,56.8
RI,2075,4,16.3,14.9,17.2,13.7,8.4,1.4,0.7,2.2,30.4,86.7
RI,2100,4,16.5,14.1,17.5,13.2,10.9,1.5,0.7,0,34.6,110.2
SC,2025,4,325.1,325.1,325.1,325.1,0,12.4,4.6,303.3,346.9,6.7
SC,2050,4,414.8,406,433.3,435.9,93.1,18.4,6.2,258.3,571.3,37.7
SC,2075,4,465.3,444.9,494.2,496.5,144.9,21.7,7.1,224.1,706.5,51.8
SC,2100,4,487.9,459.7,522.2,525.7,171.1,23.2,7.5,203.6,772.2,58.3
SD,2025,4,22.2,22.2,22.2,22.2,0,1.3,0.8,19.7,24.7,11.4
SD,2050,4,25.6,24.5,27.1,26.5,8.2,1.8,1,11.6,39.5,54.6
SD,2075,4,28.7,25.9,31.2,29.2,13.7,2.1,1.1,5.9,51.5,79.3
SD,2100,4,27.7,25,30.1,30.7,12.2,2,1.2,7.2,48.2,74
TN,2025,4,461.1,461.1,461.1,461.1,0,20.3,5.4,426.5,495.7,7.5
TN,2050,4,554,540.5,580.3,582.9,132.3,28.2,6.8,331.2,776.7,40.2
TN,2075,4,611,570.2,656.6,660.7,227.8,33.4,7.7,232.1,989.9,62
TN,2100,4,609.3,556.3,660.8,688.8,247.5,33.7,8.1,198.2,1020.5,67.5
TX,2025,4,479.1,479.1,479.1,479.1,0,19.7,5.1,445.7,512.5,7
TX,2050,4,625.2,602.1,662.5,703.1,174.9,29.4,7.5,333.2,917.2,46.7
TX,2075,4,735.2,688.1,790.7,851.4,259.6,35.7,9.1,304,1166.5,58.7
TX,2100,4,775.8,714.5,838.9,877.1,302.2,38.1,9.4,274.5,1277.2,64.6
UT,2025,4,133.1,133.1,133.1,133.1,0,9.6,2.4,116.8,149.3,12.2
UT,2050,4,166.3,161.3,166.1,165.6,46.4,13.7,3,86.6,246,47.9
UT,2075,4,193.2,178.3,190.5,185.3,86.4,16.8,3.4,48.3,338,75
UT,2100,4,226.2,193.7,215.6,194.4,144.6,20.3,3.5,0,466.4,106.2
VT,2025,5,142.9,142.9,142.9,142.9,0,7.5,2.6,129.8,156,9.1
VT,2050,5,178.8,171.5,187.6,176.9,53.7,10.6,3.2,88.7,269,50.4
VT,2075,5,205.5,187.1,219.2,187.9,90.6,12.5,3.4,55.1,356,73.2
VT,2100,5,222.1,194,238.6,195.1,117.4,13.7,3.5,27.6,416.7,87.6
VA,2025,4,548.8,548.8,548.8,548.8,0,17.5,5.9,518.4,579.2,5.5
VA,2050,4,636.5,624.9,663.9,688.1,129.9,23.3,7.4,419,853.9,34.2
VA,2075,4,685.6,652.1,731.6,769.3,217.1,26.6,8.3,325.5,1045.7,52.5
VA,2100,4,699.6,653.6,752.6,803.1,251.2,26.7,8.7,283.7,1115.4,59.4
WA,2025,5,818.7,818.7,818.7,818.7,0,38.1,8.3,754.5,882.8,7.8
WA,2050,5,1005.9,947.9,977.2,942.3,402.6,56.8,9.5,336.9,1674.9,66.5
WA,2075,5,1105.6,962.4,1050.1,967.3,672.5,70,9.8,0,2218,100.6
WA,2100,5,1118.9,929.1,1043.8,904.2,796.8,77.6,9.1,0,2435.8,117.7
WV,2025,4,438.6,438.6,438.6,438.6,0,28.7,5.7,390.4,486.7,11
WV,2050,4,539.5,524.2,562.4,517.7,151.4,39.6,6.7,281.8,797.2,47.8
WV,2075,4,594,545.2,636.3,556.5,278.8,47.2,7.2,128.7,1059.3,78.3
WV,2100,4,624.5,542.4,678.6,572.9,365.6,52.3,7.4,16.9,1232.1,97.3
WI,2025,5,396.2,396.2,396.2,396.2,0,21.2,3.2,360.9,431.5,8.9
WI,2050,5,549.3,518.6,579.1,532.5,196.6,29.2,4.3,222.4,876.3,59.5
WI,2075,5,644,580.1,688.6,594.1,295.7,34.5,4.8,154.1,1133.8,76.1
WI,2100,5,697.4,608.1,749.7,622.3,366.1,37.5,5,92,1302.8,86.8
WY,2025,4,131.6,131.6,131.6,131.6,0,9.4,2.6,115.5,147.7,12.2
WY,2050,4,160.9,153.9,162,164,52.4,13.6,3.2,71.8,250.1,55.4
WY,2075,4,185.9,169.4,184.9,182.9,86.4,16.5,3.5,41.1,330.7,77.9
WY,2100,4,200.4,176.1,197.3,191,109.8,18.3,3.7,17.3,383.6,91.4
