VARIANT,PROJ_YEAR,param_mean,param_sd,ndraw,param_cv,pred_cv
NE,30,149.71510397914,1.0977053736771,30,0.00733196146883115,0.120223781586591
NE,35,161.795596243787,1.13951968730387,30,0.00704295860801356,0.120206502594303
NE,40,172.801025942586,1.10923647706358,30,0.00641915446400261,0.120171567119817
NE,45,182.593938507557,1.01655053573563,30,0.00556727427013445,0.120129074510707
NE,50,191.281625152208,0.824934892742343,30,0.00431267191548545,0.120077471405133
NE,55,198.992442629605,0.757020412810858,30,0.00380426715108945,0.120060286725282
NE,60,206.018089981713,0.752852504265425,30,0.00365430290287738,0.120055628479909
NE,65,212.538693140913,0.793095872035065,30,0.00373153641021611,0.120058004164574
NE,70,218.654932689741,0.837727670830545,30,0.00383127725739091,0.120061145610989
NE,75,224.405366971257,0.923402341442572,30,0.00411488528062186,0.120070530443039
NE,80,229.875903693832,0.990924760652424,30,0.00431069435608276,0.120077400395876
NE,85,235.10466246781,1.05988898108355,30,0.00450815806865876,0.120084651347173
NE,90,240.089496242746,1.14363285713468,30,0.00476336064272631,0.120094502807633
NE,95,244.871780680444,1.24006397001302,30,0.00506413587783433,0.120106808600467
NE,100,249.486300133057,1.33459974773781,30,0.0053493909165595,0.120119174086314
PN,0,14.5811196024153,0,30,0,0.12
PN,5,51.565742272059,0.189514736633793,30,0.00367520621799489,0.120056266561745
PN,10,81.2645172528359,0.225941703800008,30,0.00278032419853111,0.120032204856234
PN,15,112.603995280108,0.185368420701277,30,0.00164619754601215,0.120011290995308
PN,20,144.221277531826,0.25072342299322,30,0.00173846347282489,0.120012592069526
PN,25,173.941066553279,0.179697007722738,30,0.00103309132962972,0.120004446908002
PN,30,202.2073993151,0.449105804746813,30,0.0022210156812658,0.12002055203446
PN,35,228.514035062946,0.581971117917378,30,0.00254676312444909,0.120027021967605
PN,40,252.638354650862,0.53932375421098,30,0.0021347659382769,0.120018986937948
PN,45,274.527141730272,0.586532766062431,30,0.00213652013555261,0.120019018152498
PN,50,294.844676848038,0.678137482992633,30,0.00229998211343711,0.120022039299964
PN,55,313.370874094164,0.777413460968783,30,0.00248080956220322,0.120025640661002
PN,60,331.293379863385,0.828422835020328,30,0.00250057165453154,0.120026050749824
PN,65,348.112179349492,0.914871102557171,30,0.00262809277246997,0.120028775181707
PN,70,363.655916774569,1.05293242278416,30,0.00289540847327084,0.120034925710091
PN,75,377.964340008713,1.13013125958102,30,0.00299004731386821,0.120037245815368
PN,80,390.949196426815,1.31564345068167,30,0.00336525426502048,0.120047177960451
PN,85,400.970200111021,1.42085033335141,30,0.00354353099795945,0.120052307815941
PN,90,410.127546622803,1.51861637573685,30,0.00370279048125858,0.120057114147176
PN,95,418.105253402495,1.5757004710312,30,0.00376866939175799,0.120059164035838
