state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
OR,BAU,153.5,61.8,215.2,498,370
OR,intensive,0,75.4,75.4,927,745
PA,reserve,286.8,0,286.8,0,0
PA,conservation,211.1,14.2,225.3,166,117
PA,BAU,125.7,28.6,154.4,378,274
PA,intensive,15.5,41.8,57.3,748,576
RI,reserve,9.6,0,9.6,0,0
RI,conservation,8.6,0.2,8.8,97,65
RI,BAU,7.1,0.5,7.6,241,165
RI,intensive,4.6,0.9,5.5,511,362
SC,reserve,251.6,0,251.6,0,0
SC,conservation,110,26.4,136.3,403,286
SC,BAU,19.9,36.9,56.8,800,612
SC,intensive,0,34.4,34.4,1168,982
SD,reserve,11.1,0,11.1,0,0
SD,conservation,7.6,0.7,8.2,63,45
SD,BAU,4.1,1.2,5.3,137,102
SD,intensive,0.2,1.6,1.8,260,208
TN,reserve,257.2,0,257.2,0,0
TN,conservation,180.8,14.3,195.2,200,141
TN,BAU,93.3,28.7,122,468,342
TN,intensive,3.3,37.9,41.2,864,672
TX,reserve,340.2,0,340.2,0,0
TX,conservation,238.5,20,258.5,58,40
TX,BAU,127.2,39.1,166.2,134,97
TX,intensive,29.3,49.6,78.9,233,180
UT,reserve,92.6,0,92.6,0,0
UT,conservation,90.3,0.5,90.8,4,3
UT,BAU,86.9,1.1,88,11,7
UT,intensive,79.2,2.7,81.8,25,17
VA,reserve,337.1,0,337.1,0,0
VA,conservation,203.1,25,228.1,304,216
VA,BAU,75.6,44.1,119.7,674,502
VA,intensive,0,48.5,48.5,1134,915
VT,reserve,75,0,75,0,0
VT,conservation,60.2,2.8,63.1,117,82
VT,BAU,43.1,5.9,48.9,265,191
VT,intensive,15.2,9.9,25.1,564,426
WA,reserve,514.6,0,514.6,0,0
WA,conservation,360.6,29.3,389.9,255,180
WA,BAU,209.8,54.4,264.1,550,402
WA,intensive,41.5,71.1,112.6,1043,822
WI,reserve,233.5,0,233.5,0,0
WI,conservation,155.9,14.7,170.6,171,121
WI,BAU,82.4,26.7,109.1,366,269
WI,intensive,7.2,33.3,40.5,677,539
WV,reserve,254.9,0,254.9,0,0
WV,conservation,212.6,8.1,220.7,124,86
WV,BAU,157.3,18.1,175.5,297,209
WV,intensive,67.3,32.2,99.5,630,461
WY,reserve,85.5,0,85.5,0,0
WY,conservation,85.4,0,85.4,0,0
WY,BAU,85.3,0,85.3,0,0
WY,intensive,85.1,0.1,85.2,1,1
