model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CBM,05,reserve,2088,791.179,8.228
CBM,05,reserve,2089,794.93,8.267
CBM,05,reserve,2090,798.645,8.306
CBM,05,reserve,2091,802.325,8.344
CBM,05,reserve,2092,805.969,8.382
CBM,05,reserve,2093,809.579,8.42
CBM,05,reserve,2094,813.154,8.457
CBM,05,reserve,2095,816.695,8.494
CBM,05,reserve,2096,820.202,8.53
CBM,05,reserve,2097,823.676,8.566
CBM,05,reserve,2098,827.116,8.602
CBM,05,reserve,2099,830.524,8.637
CBM,05,reserve,2100,833.899,8.673
CBM,06,reserve,2025,1002.65,12.032
CBM,06,reserve,2026,1010.689,12.128
CBM,06,reserve,2027,1018.616,12.223
CBM,06,reserve,2028,1026.431,12.317
CBM,06,reserve,2029,1034.135,12.41
CBM,06,reserve,2030,1041.732,12.501
CBM,06,reserve,2031,1049.221,12.591
CBM,06,reserve,2032,1056.605,12.679
CBM,06,reserve,2033,1063.886,12.767
CBM,06,reserve,2034,1071.063,12.853
CBM,06,reserve,2035,1078.14,12.938
CBM,06,reserve,2036,1085.117,13.021
CBM,06,reserve,2037,1091.996,13.104
CBM,06,reserve,2038,1098.778,13.185
CBM,06,reserve,2039,1105.465,13.266
CBM,06,reserve,2040,1112.058,13.345
CBM,06,reserve,2041,1118.557,13.423
CBM,06,reserve,2042,1124.966,13.5
CBM,06,reserve,2043,1131.284,13.575
CBM,06,reserve,2044,1137.513,13.65
CBM,06,reserve,2045,1143.655,13.724
CBM,06,reserve,2046,1149.71,13.797
CBM,06,reserve,2047,1155.68,13.868
CBM,06,reserve,2048,1161.566,13.939
CBM,06,reserve,2049,1167.369,14.008
CBM,06,reserve,2050,1173.09,14.077
CBM,06,reserve,2051,1178.731,14.145
CBM,06,reserve,2052,1184.293,14.212
CBM,06,reserve,2053,1189.776,14.277
CBM,06,reserve,2054,1195.182,14.342
CBM,06,reserve,2055,1200.512,14.406
CBM,06,reserve,2056,1205.767,14.469
CBM,06,reserve,2057,1210.948,14.531
CBM,06,reserve,2058,1216.056,14.593
CBM,06,reserve,2059,1221.093,14.653
CBM,06,reserve,2060,1226.058,14.713
CBM,06,reserve,2061,1230.953,14.771
CBM,06,reserve,2062,1235.78,14.829
CBM,06,reserve,2063,1240.539,14.886
CBM,06,reserve,2064,1245.23,14.943
CBM,06,reserve,2065,1249.856,14.998
CBM,06,reserve,2066,1254.417,15.053
CBM,06,reserve,2067,1258.913,15.107
CBM,06,reserve,2068,1263.346,15.16
CBM,06,reserve,2069,1267.717,15.213
CBM,06,reserve,2070,1272.026,15.264
CBM,06,reserve,2071,1276.275,15.315
CBM,06,reserve,2072,1280.464,15.366
CBM,06,reserve,2073,1284.594,15.415
CBM,06,reserve,2074,1288.665,15.464
CBM,06,reserve,2075,1292.68,15.512
CBM,06,reserve,2076,1296.638,15.56
CBM,06,reserve,2077,1300.54,15.606
CBM,06,reserve,2078,1304.387,15.653
CBM,06,reserve,2079,1308.18,15.698
CBM,06,reserve,2080,1311.92,15.743
CBM,06,reserve,2081,1315.607,15.787
CBM,06,reserve,2082,1319.243,15.831
CBM,06,reserve,2083,1322.827,15.874
CBM,06,reserve,2084,1326.361,15.916
CBM,06,reserve,2085,1329.845,15.958
CBM,06,reserve,2086,1333.279,15.999
CBM,06,reserve,2087,1336.666,16.04
CBM,06,reserve,2088,1340.005,16.08
CBM,06,reserve,2089,1343.297,16.12
CBM,06,reserve,2090,1346.543,16.159
CBM,06,reserve,2091,1349.743,16.197
CBM,06,reserve,2092,1352.897,16.235
CBM,06,reserve,2093,1356.008,16.272
