state,scenario,default_FIADB,calibrated_FIADB,default_TreeMap,calibrated_TreeMap
KY,intensive,659.2,535.9,,
LA,reserve,743.8,569.3,1270.6,1143.8
LA,conservation,694.4,527.5,1203.2,1079.8
LA,BAU,620.0,464.9,1100.7,982.7
LA,intensive,495.9,361.8,926.3,818.3
MA,reserve,323.0,279.4,303.3,257.0
MA,conservation,321.0,277.6,301.4,255.3
MA,BAU,318.1,274.9,298.6,252.8
MA,intensive,310.7,268.2,291.5,246.5
MD,reserve,150.8,120.5,224.5,195.9
MD,conservation,149.2,119.1,222.5,194.1
MD,BAU,146.8,117.0,219.5,191.4
MD,intensive,141.0,111.9,212.4,185.1
ME,reserve,819.5,547.2,990.1,868.4
ME,conservation,814.2,542.9,983.9,862.7
ME,BAU,806.5,536.8,974.9,854.5
ME,intensive,786.8,521.0,951.6,833.3
MI,reserve,911.8,716.6,1015.7,841.4
MI,conservation,726.7,562.0,825.8,671.3
MI,BAU,537.0,406.1,629.7,497.9
MI,intensive,300.1,218.6,379.9,283.2
MN,reserve,599.1,387.2,816.0,675.4
MN,conservation,574.5,368.4,785.5,648.3
MN,BAU,540.8,342.9,743.6,611.3
MN,intensive,465.0,286.1,648.5,527.7
MO,reserve,1045.6,891.5,890.6,555.9
MO,conservation,1038.6,885.3,884.4,551.0
MO,BAU,1027.7,875.5,874.6,543.4
MO,intensive,1002.8,853.2,852.3,526.1
MS,reserve,1642.0,1143.9,1267.5,948.5
MS,conservation,1521.2,1049.9,1166.0,864.0
MS,BAU,1340.1,910.3,1014.9,739.0
MS,intensive,1059.2,697.3,783.1,550.1
MT,reserve,1201.3,915.6,971.1,724.0
MT,conservation,1200.5,915.0,970.4,723.4
MT,BAU,1199.4,914.0,969.4,722.5
MT,intensive,1196.5,911.5,966.7,720.3
NC,reserve,1057.6,785.3,2237.1,2080.1
NC,conservation,896.5,646.6,1957.1,1815.0
NC,BAU,689.1,470.5,1586.5,1464.9
NC,intensive,440.8,266.4,1117.3,1023.6
ND,reserve,41.0,38.2,73.7,52.7
ND,conservation,40.7,38.0,73.4,52.4
ND,BAU,40.4,37.7,72.9,52.0
ND,intensive,39.6,36.9,71.5,50.9
NE,reserve,87.6,77.7,60.9,52.1
NE,conservation,86.5,76.8,60.1,51.4
NE,BAU,84.9,75.2,58.9,50.3
NE,intensive,81.4,72.0,56.2,47.9
NH,reserve,407.8,290.7,349.6,201.4
NH,conservation,403.6,287.2,345.9,198.7
NH,BAU,397.7,282.3,340.6,194.8
NH,intensive,382.7,269.9,327.1,185.1
NJ,reserve,176.6,148.6,169.9,120.2
NJ,conservation,175.5,147.6,168.8,119.4
NJ,BAU,173.8,146.1,167.1,118.0
NJ,intensive,169.9,142.6,163.3,115.1
NM,reserve,768.8,689.7,404.9,350.8
NM,conservation,768.8,689.7,404.9,350.8
NM,BAU,768.8,689.7,404.9,350.8
NM,intensive,768.8,689.7,404.9,350.8
NV,reserve,383.4,277.7,126.4,83.9
NV,conservation,383.3,277.6,126.3,83.8
NV,BAU,383.1,277.4,126.2,83.8
NV,intensive,382.5,277.0,125.9,83.5
NY,reserve,1628.6,1244.6,2108.6,1603.1
NY,conservation,1553.1,1180.1,2022.4,1530.4
NY,BAU,1449.2,1091.8,1903.4,1430.7
NY,intensive,1227.8,905.2,1647.6,1217.8
OH,reserve,605.5,510.6,610.3,461.8
OH,conservation,597.8,503.7,602.7,455.3
OH,BAU,585.6,492.7,590.6,445.0
OH,intensive,559.2,468.8,564.5,422.7
OK,reserve,596.6,487.9,569.1,509.5
OK,conservation,588.4,480.7,561.2,502.4
OK,BAU,575.4,469.2,548.8,491.2
OK,intensive,547.6,444.7,522.1,467.0
OR,reserve,4128.4,3300.9,4572.3,3574.2
OR,conservation,4127.1,3299.8,4571.0,3573.0
OR,BAU,4125.2,3298.1,4569.0,3571.2
OR,intensive,4120.4,3293.9,4563.8,3566.8
PA,reserve,1169.3,968.1,1366.0,1058.4
PA,conservation,1148.8,949.6,1343.6,1039.1
PA,BAU,1118.3,922.1,1310.2,1010.6
PA,intensive,1047.9,858.8,1233.0,944.7
RI,reserve,32.3,28.8,30.1,22.3
RI,conservation,32.3,28.7,30.1,22.3
RI,BAU,32.2,28.6,30.0,22.2
RI,intensive,31.9,28.4,29.7,22.0
SC,reserve,660.8,479.9,1608.3,1393.1
SC,conservation,533.7,374.6,1391.2,1194.9
SC,BAU,385.9,254.6,1124.0,953.5
SC,intensive,233.4,136.7,812.2,677.4
SD,reserve,38.2,28.0,58.8,51.4
SD,conservation,37.6,27.4,58.1,50.7
SD,BAU,36.7,26.6,57.0,49.7
SD,intensive,34.5,24.6,54.4,47.3
TN,reserve,825.0,762.5,1953.0,1617.6
TN,conservation,573.2,525.6,1480.5,1200.5
TN,BAU,344.3,312.3,1020.9,803.0
TN,intensive,175.5,158.0,627.9,478.0
TX,reserve,921.2,945.0,2012.1,1586.3
TX,conservation,906.1,930.4,1986.2,1564.3
TX,BAU,881.1,906.1,1942.9,1527.5
TX,intensive,831.8,858.3,1857.1,1454.9
UT,reserve,437.0,337.4,335.6,280.5
UT,conservation,436.9,337.4,335.5,280.4
UT,BAU,436.9,337.3,335.5,280.4
UT,intensive,436.7,337.2,335.3,280.2
VA,reserve,858.2,752.1,1903.0,1595.0
VA,conservation,845.3,740.4,1881.2,1576.1
VA,BAU,824.3,721.1,1845.4,1545.0
VA,intensive,781.1,681.6,1771.7,1480.9
VT,reserve,392.1,294.4,,
VT,conservation,389.5,292.2,,
VT,BAU,385.8,289.0,,
VT,intensive,376.2,280.9,,
WA,reserve,3026.7,2271.7,1782.5,1353.1
WA,conservation,3023.5,2269.0,1780.3,1351.3
WA,BAU,3018.9,2265.2,1777.1,1348.6
WA,intensive,3006.9,2255.0,1768.6,1341.6
WI,reserve,881.7,624.5,965.5,796.0
WI,conservation,614.2,414.0,679.6,545.0
WI,BAU,404.6,256.1,453.4,351.1
WI,intensive,230.8,137.5,261.7,195.5
WV,reserve,1130.2,955.9,1405.6,1061.7
WV,conservation,1113.4,940.8,1386.2,1044.9
WV,BAU,1087.9,917.8,1356.6,1019.2
WV,intensive,1030.4,866.1,1289.7,961.5
WY,reserve,361.5,243.8,383.7,301.7
WY,conservation,361.4,243.7,383.6,301.6
WY,BAU,361.2,243.5,383.4,301.5
WY,intensive,360.8,243.2,382.9,301.0
