model,dist_mode,state,scenario,total_2100_TgC,forest_2100_TgC,hwp_2100_TgC,npv_0.03,npv_0.05
CBM,nodisturb,AL,BAU,576.2,489.8,86.4,581,384
CBM,disturbed,AL,BAU,566.4,480.9,85.6,578,383
FVS_cal,nodisturb,AL,BAU,453.9,375.3,78.6,561,375
FVS_cal,disturbed,AL,BAU,444.7,367,77.7,558,373
FVS_def,nodisturb,AL,BAU,505.7,417.3,88.3,609,401
FVS_def,disturbed,AL,BAU,495.5,408.1,87.4,605,399
YieldCurve,nodisturb,AL,BAU,789,667.4,121.7,754,479
YieldCurve,disturbed,AL,BAU,775.5,655,120.5,750,477
CBM,nodisturb,AL,conservation,762.6,722.4,40.2,243,155
CBM,disturbed,AL,conservation,751.4,711.5,39.8,242,155
FVS_cal,nodisturb,AL,conservation,628.7,591.7,37,235,152
FVS_cal,disturbed,AL,conservation,618.1,581.5,36.6,233,151
FVS_def,nodisturb,AL,conservation,700.2,658.8,41.4,254,162
FVS_def,disturbed,AL,conservation,688.5,647.5,41,253,161
YieldCurve,nodisturb,AL,conservation,1045.7,989.7,56,314,194
YieldCurve,disturbed,AL,conservation,1030.3,974.8,55.5,313,193
CBM,nodisturb,AL,intensive,367.4,239.6,127.7,1043,728
CBM,disturbed,AL,intensive,359.5,233.3,126.2,1037,726
FVS_cal,nodisturb,AL,intensive,262.2,149.2,113,1003,710
FVS_cal,disturbed,AL,intensive,255,143.4,111.6,998,707
FVS_def,nodisturb,AL,intensive,289.9,161.8,128.1,1090,760
FVS_def,disturbed,AL,intensive,281.8,155.3,126.6,1085,757
YieldCurve,nodisturb,AL,intensive,494.2,311.4,182.8,1358,910
YieldCurve,disturbed,AL,intensive,483.3,302.6,180.7,1351,906
CBM,nodisturb,AL,reserve,909.8,909.8,0,0,0
CBM,disturbed,AL,reserve,897.6,897.6,0,0,0
FVS_cal,nodisturb,AL,reserve,768,768,0,0,0
FVS_cal,disturbed,AL,reserve,756.5,756.5,0,0,0
FVS_def,nodisturb,AL,reserve,854.4,854.4,0,0,0
FVS_def,disturbed,AL,reserve,841.6,841.6,0,0,0
YieldCurve,nodisturb,AL,reserve,1245.7,1245.7,0,0,0
YieldCurve,disturbed,AL,reserve,1229,1229,0,0,0
CBM,nodisturb,AR,BAU,703,666.8,36.2,256,162
CBM,disturbed,AR,BAU,691.7,655.9,35.8,255,161
CEM,nodisturb,AR,BAU,220.3,204,16.4,160,112
CEM,disturbed,AR,BAU,214.7,198.5,16.2,159,112
FVS_cal,nodisturb,AR,BAU,628.8,593.6,35.3,258,164
FVS_cal,disturbed,AR,BAU,617.7,582.8,34.9,256,163
FVS_def,nodisturb,AR,BAU,738.5,697.9,40.6,283,177
FVS_def,disturbed,AR,BAU,725.8,685.7,40.2,282,176
YieldCurve,nodisturb,AR,BAU,466.5,435.1,31.5,250,162
YieldCurve,disturbed,AR,BAU,456.3,425.2,31.1,249,162
CBM,nodisturb,AR,conservation,781.3,766.4,14.8,101,63
CBM,disturbed,AR,conservation,769.4,754.7,14.7,100,63
CEM,nodisturb,AR,conservation,261.3,254.4,6.9,63,44
CEM,disturbed,AR,conservation,255.3,248.5,6.8,63,43
FVS_cal,nodisturb,AR,conservation,706.6,692.1,14.5,102,64
FVS_cal,disturbed,AR,conservation,694.9,680.5,14.3,101,64
FVS_def,nodisturb,AR,conservation,826.4,809.8,16.6,112,69
FVS_def,disturbed,AR,conservation,813.1,796.7,16.5,111,69
YieldCurve,nodisturb,AR,conservation,539.1,526.1,13,99,63
YieldCurve,disturbed,AR,conservation,528.3,515.4,12.9,98,63
CBM,nodisturb,AR,intensive,568.5,498,70.6,541,351
CBM,disturbed,AR,intensive,558.4,488.6,69.8,538,350
CEM,nodisturb,AR,intensive,153.1,122.9,30.2,335,242
CEM,disturbed,AR,intensive,148.1,118.3,29.8,333,241
FVS_cal,nodisturb,AR,intensive,495.8,427.6,68.2,544,355
FVS_cal,disturbed,AR,intensive,485.8,418.4,67.5,541,354
FVS_def,nodisturb,AR,intensive,587.2,508.1,79,599,384
FVS_def,disturbed,AR,intensive,575.8,497.6,78.2,596,382
YieldCurve,nodisturb,AR,intensive,343.8,283.9,59.9,527,352
YieldCurve,disturbed,AR,intensive,334.6,275.4,59.2,524,350
CBM,nodisturb,AR,reserve,833.9,833.9,0,0,0
CBM,disturbed,AR,reserve,821.6,821.6,0,0,0
CEM,nodisturb,AR,reserve,289.4,289.4,0,0,0
CEM,disturbed,AR,reserve,283.2,283.2,0,0,0
FVS_cal,nodisturb,AR,reserve,759,759,0,0,0
FVS_cal,disturbed,AR,reserve,746.9,746.9,0,0,0
FVS_def,nodisturb,AR,reserve,885.5,885.5,0,0,0
FVS_def,disturbed,AR,reserve,871.8,871.8,0,0,0
YieldCurve,nodisturb,AR,reserve,588.3,588.3,0,0,0
YieldCurve,disturbed,AR,reserve,577.1,577.1,0,0,0
CBM,nodisturb,AZ,BAU,244.1,244.1,0,0,0
CBM,disturbed,AZ,BAU,241,241,0,0,0
CEM,nodisturb,AZ,BAU,72.5,72.5,0,0,0
CEM,disturbed,AZ,BAU,71.2,71.2,0,0,0
FVS_cal,nodisturb,AZ,BAU,233.3,233.3,0,0,0
FVS_cal,disturbed,AZ,BAU,229.7,229.7,0,0,0
FVS_def,nodisturb,AZ,BAU,285,285,0,0,0
FVS_def,disturbed,AZ,BAU,281,281,0,0,0
YieldCurve,nodisturb,AZ,BAU,146.2,146.2,0,0,0
YieldCurve,disturbed,AZ,BAU,144,144,0,0,0
CBM,nodisturb,AZ,conservation,244.1,244.1,0,0,0
CBM,disturbed,AZ,conservation,241,241,0,0,0
CEM,nodisturb,AZ,conservation,72.5,72.5,0,0,0
CEM,disturbed,AZ,conservation,71.2,71.2,0,0,0
FVS_cal,nodisturb,AZ,conservation,233.3,233.3,0,0,0
FVS_cal,disturbed,AZ,conservation,229.7,229.7,0,0,0
FVS_def,nodisturb,AZ,conservation,285,285,0,0,0
FVS_def,disturbed,AZ,conservation,281,281,0,0,0
YieldCurve,nodisturb,AZ,conservation,146.2,146.2,0,0,0
YieldCurve,disturbed,AZ,conservation,144,144,0,0,0
CBM,nodisturb,AZ,intensive,244.1,244.1,0,0,0
CBM,disturbed,AZ,intensive,241,241,0,0,0
CEM,nodisturb,AZ,intensive,72.5,72.5,0,0,0
CEM,disturbed,AZ,intensive,71.2,71.2,0,0,0
FVS_cal,nodisturb,AZ,intensive,233.3,233.3,0,0,0
FVS_cal,disturbed,AZ,intensive,229.7,229.7,0,0,0
FVS_def,nodisturb,AZ,intensive,285,285,0,0,0
FVS_def,disturbed,AZ,intensive,281,281,0,0,0
YieldCurve,nodisturb,AZ,intensive,146.2,146.2,0,0,0
YieldCurve,disturbed,AZ,intensive,144,144,0,0,0
CBM,nodisturb,AZ,reserve,244.1,244.1,0,0,0
CBM,disturbed,AZ,reserve,241,241,0,0,0
CEM,nodisturb,AZ,reserve,72.5,72.5,0,0,0
CEM,disturbed,AZ,reserve,71.2,71.2,0,0,0
FVS_cal,nodisturb,AZ,reserve,233.3,233.3,0,0,0
FVS_cal,disturbed,AZ,reserve,229.7,229.7,0,0,0
FVS_def,nodisturb,AZ,reserve,285,285,0,0,0
FVS_def,disturbed,AZ,reserve,281,281,0,0,0
YieldCurve,nodisturb,AZ,reserve,146.2,146.2,0,0,0
YieldCurve,disturbed,AZ,reserve,144,144,0,0,0
CBM,nodisturb,CA,BAU,1375.6,1375.4,0.3,1,1
CBM,disturbed,CA,BAU,1231.3,1231.1,0.2,1,1
CEM,nodisturb,CA,BAU,504,503.8,0.1,1,0
CEM,disturbed,CA,BAU,433.5,433.4,0.1,1,0
FVS_cal,nodisturb,CA,BAU,3731.4,3730.9,0.6,2,1
FVS_cal,disturbed,CA,BAU,3412.6,3412.1,0.6,2,1
FVS_def,nodisturb,CA,BAU,4343.3,4342.6,0.7,2,1
FVS_def,disturbed,CA,BAU,3984.4,3983.8,0.6,2,1
YieldCurve,nodisturb,CA,BAU,1385.9,1385.6,0.3,1,1
YieldCurve,disturbed,CA,BAU,1239,1238.8,0.3,1,1
CBM,nodisturb,CA,conservation,1376.2,1376.1,0.1,0,0
CBM,disturbed,CA,conservation,1231.9,1231.8,0.1,0,0
CEM,nodisturb,CA,conservation,504.3,504.2,0.1,0,0
CEM,disturbed,CA,conservation,433.8,433.7,0,0,0
FVS_cal,nodisturb,CA,conservation,3732.6,3732.3,0.2,1,0
FVS_cal,disturbed,CA,conservation,3413.7,3413.5,0.2,1,0
FVS_def,nodisturb,CA,conservation,4344.6,4344.3,0.3,1,0
FVS_def,disturbed,CA,conservation,3985.6,3985.3,0.3,1,0
YieldCurve,nodisturb,CA,conservation,1386.5,1386.4,0.1,0,0
YieldCurve,disturbed,CA,conservation,1239.6,1239.5,0.1,0,0
CBM,nodisturb,CA,intensive,1374.2,1373.5,0.7,3,2
CBM,disturbed,CA,intensive,1229.9,1229.3,0.6,3,2
CEM,nodisturb,CA,intensive,503.1,502.8,0.3,2,1
CEM,disturbed,CA,intensive,432.7,432.4,0.3,2,1
FVS_cal,nodisturb,CA,intensive,3728.5,3727,1.5,5,3
FVS_cal,disturbed,CA,intensive,3409.8,3408.4,1.4,5,3
FVS_def,nodisturb,CA,intensive,4340,4338.3,1.7,5,3
FVS_def,disturbed,CA,intensive,3981.2,3979.6,1.6,5,3
YieldCurve,nodisturb,CA,intensive,1384.4,1383.7,0.7,3,2
YieldCurve,disturbed,CA,intensive,1237.6,1236.9,0.6,3,2
CBM,nodisturb,CA,reserve,1376.6,1376.6,0,0,0
CBM,disturbed,CA,reserve,1232.2,1232.2,0,0,0
CEM,nodisturb,CA,reserve,504.5,504.5,0,0,0
CEM,disturbed,CA,reserve,434,434,0,0,0
FVS_cal,nodisturb,CA,reserve,3733.4,3733.4,0,0,0
FVS_cal,disturbed,CA,reserve,3414.5,3414.5,0,0,0
FVS_def,nodisturb,CA,reserve,4345.4,4345.4,0,0,0
FVS_def,disturbed,CA,reserve,3986.4,3986.4,0,0,0
YieldCurve,nodisturb,CA,reserve,1386.9,1386.9,0,0,0
YieldCurve,disturbed,CA,reserve,1239.9,1239.9,0,0,0
CBM,nodisturb,CO,BAU,479.7,479.7,0,0,0
CBM,disturbed,CO,BAU,444.3,444.3,0,0,0
CEM,nodisturb,CO,BAU,127.6,127.6,0,0,0
CEM,disturbed,CO,BAU,113.5,113.5,0,0,0
FVS_cal,nodisturb,CO,BAU,594.9,594.9,0,0,0
FVS_cal,disturbed,CO,BAU,552,552,0,0,0
FVS_def,nodisturb,CO,BAU,960.7,960.7,0,0,0
FVS_def,disturbed,CO,BAU,900.6,900.6,0,0,0
YieldCurve,nodisturb,CO,BAU,332.5,332.5,0,0,0
YieldCurve,disturbed,CO,BAU,304.9,304.9,0,0,0
CBM,nodisturb,CO,conservation,479.7,479.7,0,0,0
CBM,disturbed,CO,conservation,444.3,444.3,0,0,0
CEM,nodisturb,CO,conservation,127.6,127.6,0,0,0
CEM,disturbed,CO,conservation,113.5,113.5,0,0,0
FVS_cal,nodisturb,CO,conservation,594.9,594.9,0,0,0
FVS_cal,disturbed,CO,conservation,552,552,0,0,0
FVS_def,nodisturb,CO,conservation,960.7,960.7,0,0,0
FVS_def,disturbed,CO,conservation,900.6,900.6,0,0,0
YieldCurve,nodisturb,CO,conservation,332.5,332.5,0,0,0
YieldCurve,disturbed,CO,conservation,304.9,304.9,0,0,0
CBM,nodisturb,CO,intensive,479.7,479.7,0,0,0
CBM,disturbed,CO,intensive,444.3,444.3,0,0,0
CEM,nodisturb,CO,intensive,127.6,127.6,0,0,0
CEM,disturbed,CO,intensive,113.5,113.5,0,0,0
FVS_cal,nodisturb,CO,intensive,594.9,594.9,0,0,0
FVS_cal,disturbed,CO,intensive,552,552,0,0,0
FVS_def,nodisturb,CO,intensive,960.7,960.7,0,0,0
FVS_def,disturbed,CO,intensive,900.6,900.6,0,0,0
YieldCurve,nodisturb,CO,intensive,332.5,332.5,0,0,0
YieldCurve,disturbed,CO,intensive,304.9,304.9,0,0,0
CBM,nodisturb,CO,reserve,479.7,479.7,0,0,0
CBM,disturbed,CO,reserve,444.3,444.3,0,0,0
CEM,nodisturb,CO,reserve,127.6,127.6,0,0,0
CEM,disturbed,CO,reserve,113.5,113.5,0,0,0
FVS_cal,nodisturb,CO,reserve,594.9,594.9,0,0,0
FVS_cal,disturbed,CO,reserve,552,552,0,0,0
FVS_def,nodisturb,CO,reserve,960.7,960.7,0,0,0
FVS_def,disturbed,CO,reserve,900.6,900.6,0,0,0
YieldCurve,nodisturb,CO,reserve,332.5,332.5,0,0,0
YieldCurve,disturbed,CO,reserve,304.9,304.9,0,0,0
CBM,nodisturb,CT,BAU,98.7,98.5,0.2,15,9
CBM,disturbed,CT,BAU,94.7,94.5,0.2,15,9
FVS_cal,nodisturb,CT,BAU,155.2,154.9,0.3,20,12
FVS_cal,disturbed,CT,BAU,149.4,149.1,0.3,20,12
FVS_def,nodisturb,CT,BAU,179.3,179,0.3,21,13
FVS_def,disturbed,CT,BAU,173,172.7,0.3,21,13
YieldCurve,nodisturb,CT,BAU,66.6,66.4,0.2,13,9
YieldCurve,disturbed,CT,BAU,63.3,63.2,0.2,13,8
CBM,nodisturb,CT,conservation,99.1,99.1,0.1,6,4
CBM,disturbed,CT,conservation,95.1,95,0.1,6,4
FVS_cal,nodisturb,CT,conservation,155.8,155.7,0.1,8,5
FVS_cal,disturbed,CT,conservation,150,149.9,0.1,8,5
FVS_def,nodisturb,CT,conservation,180,179.9,0.1,8,5
FVS_def,disturbed,CT,conservation,173.6,173.5,0.1,8,5
YieldCurve,nodisturb,CT,conservation,67,66.9,0.1,5,3
YieldCurve,disturbed,CT,conservation,63.7,63.6,0.1,5,3
CBM,nodisturb,CT,intensive,97.7,97.2,0.5,36,23
CBM,disturbed,CT,intensive,93.7,93.2,0.5,35,23
FVS_cal,nodisturb,CT,intensive,153.7,153,0.7,48,29
FVS_cal,disturbed,CT,intensive,148,147.3,0.7,47,29
FVS_def,nodisturb,CT,intensive,177.8,177,0.8,51,31
FVS_def,disturbed,CT,intensive,171.4,170.7,0.8,51,30
YieldCurve,nodisturb,CT,intensive,65.8,65.4,0.4,32,21
YieldCurve,disturbed,CT,intensive,62.5,62.2,0.4,31,20
CBM,nodisturb,CT,reserve,99.4,99.4,0,0,0
CBM,disturbed,CT,reserve,95.4,95.4,0,0,0
FVS_cal,nodisturb,CT,reserve,156.2,156.2,0,0,0
FVS_cal,disturbed,CT,reserve,150.4,150.4,0,0,0
FVS_def,nodisturb,CT,reserve,180.4,180.4,0,0,0
FVS_def,disturbed,CT,reserve,174.1,174.1,0,0,0
YieldCurve,nodisturb,CT,reserve,67.2,67.2,0,0,0
YieldCurve,disturbed,CT,reserve,63.9,63.9,0,0,0
CBM,nodisturb,DE,BAU,18.8,18.8,0,4,3
CBM,disturbed,DE,BAU,18.6,18.6,0,4,3
FVS_cal,nodisturb,DE,BAU,15.9,15.9,0,4,3
FVS_cal,disturbed,DE,BAU,15.8,15.7,0,4,3
FVS_def,nodisturb,DE,BAU,19.8,19.8,0,5,3
FVS_def,disturbed,DE,BAU,19.6,19.6,0,5,3
YieldCurve,nodisturb,DE,BAU,18.8,18.7,0,4,3
YieldCurve,disturbed,DE,BAU,18.6,18.5,0,4,3
CBM,nodisturb,DE,conservation,18.8,18.8,0,2,1
CBM,disturbed,DE,conservation,18.6,18.6,0,2,1
FVS_cal,nodisturb,DE,conservation,16,16,0,2,1
FVS_cal,disturbed,DE,conservation,15.8,15.8,0,2,1
FVS_def,nodisturb,DE,conservation,19.8,19.8,0,2,1
FVS_def,disturbed,DE,conservation,19.6,19.6,0,2,1
YieldCurve,nodisturb,DE,conservation,18.8,18.8,0,2,1
YieldCurve,disturbed,DE,conservation,18.6,18.6,0,2,1
CBM,nodisturb,DE,intensive,18.7,18.7,0,10,6
CBM,disturbed,DE,intensive,18.5,18.5,0,10,6
FVS_cal,nodisturb,DE,intensive,15.9,15.9,0,10,7
FVS_cal,disturbed,DE,intensive,15.7,15.7,0,10,7
FVS_def,nodisturb,DE,intensive,19.7,19.7,0,12,7
FVS_def,disturbed,DE,intensive,19.5,19.5,0,11,7
YieldCurve,nodisturb,DE,intensive,18.7,18.7,0,11,7
YieldCurve,disturbed,DE,intensive,18.5,18.5,0,11,7
CBM,nodisturb,DE,reserve,18.8,18.8,0,0,0
CBM,disturbed,DE,reserve,18.6,18.6,0,0,0
FVS_cal,nodisturb,DE,reserve,16,16,0,0,0
FVS_cal,disturbed,DE,reserve,15.8,15.8,0,0,0
FVS_def,nodisturb,DE,reserve,19.8,19.8,0,0,0
FVS_def,disturbed,DE,reserve,19.6,19.6,0,0,0
YieldCurve,nodisturb,DE,reserve,18.8,18.8,0,0,0
YieldCurve,disturbed,DE,reserve,18.6,18.6,0,0,0
CBM,nodisturb,FL,BAU,338.3,255.5,82.8,761,506
CBM,disturbed,FL,BAU,326.9,245.7,81.2,754,503
FVS_cal,nodisturb,FL,BAU,132.1,79.5,52.6,624,439
FVS_cal,disturbed,FL,BAU,124,72.7,51.4,618,436
FVS_def,nodisturb,FL,BAU,231.2,160.1,71.1,727,493
FVS_def,disturbed,FL,BAU,220.9,151.4,69.6,720,490
YieldCurve,nodisturb,FL,BAU,217.8,149.8,68,710,485
YieldCurve,disturbed,FL,BAU,207.9,141.4,66.5,703,482
CBM,nodisturb,FL,conservation,504.8,461.2,43.6,341,216
CBM,disturbed,FL,conservation,490.8,448,42.8,338,214
FVS_cal,nodisturb,FL,conservation,250.3,220.6,29.8,282,188
FVS_cal,disturbed,FL,conservation,240.2,211,29.2,280,186
FVS_def,nodisturb,FL,conservation,381.6,343,38.6,327,211
FVS_def,disturbed,FL,conservation,368.9,331,37.9,324,209
YieldCurve,nodisturb,FL,conservation,362.5,325.4,37.1,320,207
YieldCurve,disturbed,FL,conservation,350.2,313.8,36.4,317,206
CBM,nodisturb,FL,intensive,207.5,104,103.5,1211,866
CBM,disturbed,FL,intensive,198.9,97.9,101,1199,860
FVS_cal,nodisturb,FL,intensive,57.2,0,57.2,982,748
FVS_cal,disturbed,FL,intensive,55.6,0,55.6,972,743
FVS_def,nodisturb,FL,intensive,121,37.6,83.5,1151,842
FVS_def,disturbed,FL,intensive,113.4,32.3,81.1,1140,836
YieldCurve,nodisturb,FL,intensive,112.9,33.5,79.4,1123,829
YieldCurve,disturbed,FL,intensive,105.5,28.3,77.2,1112,823
CBM,nodisturb,FL,reserve,662.7,662.7,0,0,0
CBM,disturbed,FL,reserve,646.7,646.7,0,0,0
FVS_cal,nodisturb,FL,reserve,369.8,369.8,0,0,0
FVS_cal,disturbed,FL,reserve,357.9,357.9,0,0,0
FVS_def,nodisturb,FL,reserve,528.1,528.1,0,0,0
FVS_def,disturbed,FL,reserve,513.4,513.4,0,0,0
YieldCurve,nodisturb,FL,reserve,504,504,0,0,0
YieldCurve,disturbed,FL,reserve,489.9,489.9,0,0,0
CBM,nodisturb,GA,BAU,295.7,138.9,156.8,1400,1013
CBM,disturbed,GA,BAU,289.8,134.7,155.1,1394,1010
FVS_cal,nodisturb,GA,BAU,213.6,86.5,127.1,1295,962
FVS_cal,disturbed,GA,BAU,208.5,82.9,125.6,1290,959
FVS_def,nodisturb,GA,BAU,269,114.7,154.3,1450,1052
FVS_def,disturbed,GA,BAU,263.1,110.5,152.6,1444,1049
YieldCurve,nodisturb,GA,BAU,268.8,103.9,165,1540,1111
YieldCurve,disturbed,GA,BAU,262.4,99.3,163.2,1534,1108
CBM,nodisturb,GA,conservation,553.8,438.5,115.3,770,513
CBM,disturbed,GA,conservation,545.6,431.3,114.3,767,512
FVS_cal,nodisturb,GA,conservation,430.2,332.1,98.1,716,488
FVS_cal,disturbed,GA,conservation,423.1,325.9,97.2,713,487
FVS_def,nodisturb,GA,conservation,528.1,411.9,116.2,799,533
FVS_def,disturbed,GA,conservation,519.8,404.6,115.2,796,532
YieldCurve,nodisturb,GA,conservation,546.7,422.3,124.4,848,563
YieldCurve,disturbed,GA,conservation,537.8,414.5,123.3,845,562
CBM,nodisturb,GA,intensive,188.5,33.7,154.8,1913,1519
CBM,disturbed,GA,intensive,184.3,31.6,152.7,1904,1514
FVS_cal,nodisturb,GA,intensive,136.6,17.8,118.8,1762,1440
FVS_cal,disturbed,GA,intensive,133.1,16.1,117,1754,1435
FVS_def,nodisturb,GA,intensive,170.6,23.4,147.1,1976,1576
FVS_def,disturbed,GA,intensive,166.4,21.4,144.9,1967,1571
YieldCurve,nodisturb,GA,intensive,164.5,8.8,155.6,2099,1665
YieldCurve,disturbed,GA,intensive,160,6.6,153.3,2089,1660
CBM,nodisturb,GA,reserve,1006.9,1006.9,0,0,0
CBM,disturbed,GA,reserve,996,996,0,0,0
FVS_cal,nodisturb,GA,reserve,834,834,0,0,0
FVS_cal,disturbed,GA,reserve,824.2,824.2,0,0,0
FVS_def,nodisturb,GA,reserve,994,994,0,0,0
FVS_def,disturbed,GA,reserve,982.8,982.8,0,0,0
YieldCurve,nodisturb,GA,reserve,1044.8,1044.8,0,0,0
YieldCurve,disturbed,GA,reserve,1032.9,1032.9,0,0,0
CBM,nodisturb,IA,BAU,56.4,37.6,18.9,1076,743
CBM,disturbed,IA,BAU,55,36.4,18.6,1069,740
FVS_cal,nodisturb,IA,BAU,63.8,42,21.9,1212,823
FVS_cal,disturbed,IA,BAU,62.2,40.6,21.6,1203,818
FVS_def,nodisturb,IA,BAU,78.2,52.6,25.5,1327,883
FVS_def,disturbed,IA,BAU,76.3,51.1,25.2,1317,879
YieldCurve,nodisturb,IA,BAU,27.9,13.7,14.2,983,703
YieldCurve,disturbed,IA,BAU,26.7,12.8,13.9,976,700
CBM,nodisturb,IA,conservation,89.5,77.5,12,560,364
CBM,disturbed,IA,conservation,87.6,75.8,11.8,556,362
FVS_cal,nodisturb,IA,conservation,102.1,88.3,13.8,630,403
FVS_cal,disturbed,IA,conservation,100,86.3,13.7,625,401
FVS_def,nodisturb,IA,conservation,122,106.1,15.9,687,432
FVS_def,disturbed,IA,conservation,119.6,103.9,15.7,683,430
YieldCurve,nodisturb,IA,conservation,54.8,45.2,9.6,515,345
YieldCurve,disturbed,IA,conservation,53.2,43.7,9.5,511,344
CBM,nodisturb,IA,intensive,33.1,11.9,21.1,1655,1254
CBM,disturbed,IA,intensive,32,11.3,20.7,1643,1248
FVS_cal,nodisturb,IA,intensive,36.6,12.2,24.4,1865,1389
FVS_cal,disturbed,IA,intensive,35.5,11.5,24,1851,1381
FVS_def,nodisturb,IA,intensive,45.6,16.4,29.2,2049,1493
FVS_def,disturbed,IA,intensive,44.3,15.6,28.7,2033,1484
YieldCurve,nodisturb,IA,intensive,13.9,0,13.9,1497,1184
YieldCurve,disturbed,IA,intensive,13.6,0,13.6,1487,1178
CBM,nodisturb,IA,reserve,134.5,134.5,0,0,0
CBM,disturbed,IA,reserve,132.2,132.2,0,0,0
FVS_cal,nodisturb,IA,reserve,153.8,153.8,0,0,0
FVS_cal,disturbed,IA,reserve,151.1,151.1,0,0,0
FVS_def,nodisturb,IA,reserve,179.9,179.9,0,0,0
FVS_def,disturbed,IA,reserve,176.9,176.9,0,0,0
YieldCurve,nodisturb,IA,reserve,93.7,93.7,0,0,0
YieldCurve,disturbed,IA,reserve,91.7,91.7,0,0,0
CBM,nodisturb,ID,BAU,609,607.1,1.9,13,8
CBM,disturbed,ID,BAU,443.3,441.7,1.6,12,8
FVS_cal,nodisturb,ID,BAU,888.6,885.9,2.7,16,10
FVS_cal,disturbed,ID,BAU,654.9,652.6,2.3,15,9
FVS_def,nodisturb,ID,BAU,1004.9,1002,2.9,17,10
FVS_def,disturbed,ID,BAU,753.8,751.3,2.5,15,9
YieldCurve,nodisturb,ID,BAU,541.2,539.4,1.8,12,8
YieldCurve,disturbed,ID,BAU,386.2,384.7,1.5,11,7
CBM,nodisturb,ID,conservation,613.6,612.9,0.7,4,3
CBM,disturbed,ID,conservation,447.3,446.8,0.6,4,3
FVS_cal,nodisturb,ID,conservation,894.7,893.8,0.9,6,3
FVS_cal,disturbed,ID,conservation,660.3,659.5,0.8,5,3
FVS_def,nodisturb,ID,conservation,1011.3,1010.3,1,6,3
FVS_def,disturbed,ID,conservation,759.5,758.7,0.8,5,3
YieldCurve,nodisturb,ID,conservation,545.5,544.9,0.6,4,3
YieldCurve,disturbed,ID,conservation,390,389.5,0.5,4,2
CBM,nodisturb,ID,intensive,601.2,597.1,4.1,27,17
CBM,disturbed,ID,intensive,436.4,432.9,3.4,25,16
FVS_cal,nodisturb,ID,intensive,877.9,872.2,5.8,34,21
FVS_cal,disturbed,ID,intensive,645.5,640.7,4.9,31,20
FVS_def,nodisturb,ID,intensive,993.6,987.4,6.2,36,21
FVS_def,disturbed,ID,intensive,743.9,738.6,5.2,33,20
YieldCurve,nodisturb,ID,intensive,533.8,529.9,3.8,26,17
YieldCurve,disturbed,ID,intensive,379.7,376.5,3.2,24,16
CBM,nodisturb,ID,reserve,615.9,615.9,0,0,0
CBM,disturbed,ID,reserve,449.4,449.4,0,0,0
FVS_cal,nodisturb,ID,reserve,897.9,897.9,0,0,0
FVS_cal,disturbed,ID,reserve,663.1,663.1,0,0,0
FVS_def,nodisturb,ID,reserve,1014.7,1014.7,0,0,0
FVS_def,disturbed,ID,reserve,762.5,762.5,0,0,0
YieldCurve,nodisturb,ID,reserve,547.8,547.8,0,0,0
YieldCurve,disturbed,ID,reserve,392,392,0,0,0
CBM,nodisturb,IL,BAU,184.6,172.2,12.3,366,237
CBM,disturbed,IL,BAU,182.2,170,12.2,364,236
CEM,nodisturb,IL,BAU,81.7,74.5,7.2,269,186
CEM,disturbed,IL,BAU,80.3,73.1,7.1,268,186
FVS_cal,nodisturb,IL,BAU,192.2,178.3,13.9,406,259
FVS_cal,disturbed,IL,BAU,189.6,175.8,13.8,405,258
FVS_def,nodisturb,IL,BAU,220.6,205.6,15,425,268
FVS_def,disturbed,IL,BAU,217.8,202.9,14.9,423,268
YieldCurve,nodisturb,IL,BAU,139.5,128.6,10.9,350,231
YieldCurve,disturbed,IL,BAU,137.4,126.6,10.8,348,230
CBM,nodisturb,IL,conservation,210.5,205,5.5,155,99
CBM,disturbed,IL,conservation,208,202.6,5.4,154,98
CEM,nodisturb,IL,conservation,98.5,95.3,3.3,114,78
CEM,disturbed,IL,conservation,96.9,93.7,3.2,114,77
FVS_cal,nodisturb,IL,conservation,221.5,215.3,6.2,172,108
FVS_cal,disturbed,IL,conservation,218.7,212.6,6.1,171,108
FVS_def,nodisturb,IL,conservation,251.8,245.1,6.6,180,112
FVS_def,disturbed,IL,conservation,248.8,242.2,6.6,179,111
YieldCurve,nodisturb,IL,conservation,163.3,158.5,4.9,148,96
YieldCurve,disturbed,IL,conservation,161.1,156.2,4.8,148,96
CBM,nodisturb,IL,intensive,137.2,113.5,23.7,790,529
CBM,disturbed,IL,intensive,135.2,111.7,23.5,787,528
CEM,nodisturb,IL,intensive,52.3,39.2,13.1,576,415
CEM,disturbed,IL,intensive,51,38.1,13,574,414
FVS_cal,nodisturb,IL,intensive,138.5,111.8,26.7,877,579
FVS_cal,disturbed,IL,intensive,136.2,109.8,26.5,874,577
FVS_def,nodisturb,IL,intensive,163.3,134.3,29,918,600
FVS_def,disturbed,IL,intensive,160.9,132.1,28.8,914,598
YieldCurve,nodisturb,IL,intensive,96.6,76.2,20.4,753,515
YieldCurve,disturbed,IL,intensive,94.8,74.5,20.3,750,514
CBM,nodisturb,IL,reserve,230.4,230.4,0,0,0
CBM,disturbed,IL,reserve,227.8,227.8,0,0,0
CEM,nodisturb,IL,reserve,111.7,111.7,0,0,0
CEM,disturbed,IL,reserve,110,110,0,0,0
FVS_cal,nodisturb,IL,reserve,243.9,243.9,0,0,0
