state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
IN,reserve,306.5,0,306.5,0,0
IN,conservation,299.6,1.5,301.2,41,26
IN,BAU,289.6,3.7,293.3,101,63
IN,intensive,265.8,8.8,274.6,247,156
KS,reserve,127.6,0,127.6,0,0
KS,conservation,126.7,0.2,126.9,4,2
KS,BAU,125.3,0.5,125.9,10,6
KS,intensive,122.2,1.2,123.5,24,14
KY,reserve,676.1,0,676.1,0,0
KY,conservation,590.7,18.6,609.3,198,125
KY,BAU,476.8,42.5,519.3,479,309
KY,intensive,302,76,378,973,651
LA,reserve,513.8,0,513.8,0,0
LA,conservation,467.4,10,477.4,96,61
LA,BAU,398.5,24.5,423,245,158
LA,intensive,287,46.5,333.5,510,338
MA,reserve,145.8,0,145.8,0,0
MA,conservation,144.4,0.3,144.7,14,9
MA,BAU,142.2,0.8,143,34,22
MA,intensive,136.9,1.9,138.8,86,55
MD,reserve,144.5,0,144.5,0,0
MD,conservation,142.6,0.4,143,20,13
MD,BAU,139.9,1,140.9,51,32
MD,intensive,133.3,2.4,135.7,124,79
ME,reserve,523.2,0,523.2,0,0
ME,conservation,518.1,1.1,519.2,9,6
ME,BAU,510.7,2.7,513.4,22,14
ME,intensive,491.9,6.7,498.7,56,36
MI,reserve,742.2,0,742.2,0,0
MI,conservation,545.9,41.3,587.2,301,196
MI,BAU,352.2,78.2,430.4,644,434
MI,intensive,129.5,110.3,239.8,1186,860
MN,reserve,501.9,0,501.9,0,0
MN,conservation,474.2,6.1,480.2,46,29
MN,BAU,436.4,14.2,450.6,111,70
MN,intensive,352.5,31.6,384.1,261,169
MO,reserve,749.7,0,749.7,0,0
MO,conservation,742.8,1.5,744.3,13,8
MO,BAU,732.1,3.9,736,33,20
MO,intensive,707.6,9.3,716.9,78,49
MS,reserve,832,0,832,0,0
MS,conservation,740.9,19.7,760.6,135,86
MS,BAU,607.6,47.6,655.2,345,223
MS,intensive,410.7,85.7,496.3,691,461
MT,reserve,726.8,0,726.8,0,0
MT,conservation,726.1,0.2,726.2,1,0
MT,BAU,725,0.4,725.4,2,1
MT,intensive,722.3,1,723.3,5,3
NC,reserve,854.6,0,854.6,0,0
NC,conservation,685.6,36,721.6,284,183
NC,BAU,474.1,77.9,552.1,680,452
NC,intensive,235.4,117.6,353,1242,871
ND,reserve,20.8,0,20.8,0,0
ND,conservation,20.6,0,20.7,7,4
ND,BAU,20.4,0.1,20.5,17,11
ND,intensive,19.7,0.3,19.9,44,27
NE,reserve,39.4,0,39.4,0,0
NE,conservation,38.7,0.2,38.8,14,9
NE,BAU,37.5,0.4,37.9,37,23
NE,intensive,35.1,1,36,85,53
NH,reserve,214.7,0,214.7,0,0
NH,conservation,211.3,0.7,212,21,14
NH,BAU,206.4,1.8,208.2,52,33
NH,intensive,194.2,4.4,198.6,130,84
NJ,reserve,102.2,0,102.2,0,0
NJ,conservation,101.3,0.2,101.5,13,8
NJ,BAU,99.8,0.5,100.3,33,21
NJ,intensive,96.6,1.2,97.8,79,50
NM,reserve,290.8,0,290.8,0,0
NM,BAU,290.8,0,290.8,0,0
NM,conservation,290.8,0,290.8,0,0
NM,intensive,290.8,0,290.8,0,0
NV,reserve,86.8,0,86.8,0,0
NV,conservation,86.7,0,86.7,0,0
NV,BAU,86.6,0,86.6,0,0
NV,intensive,86.3,0.1,86.4,1,1
NY,reserve,918.1,0,918.1,0,0
NY,conservation,854.7,13.8,868.5,98,62
NY,BAU,768.8,32.1,800.9,235,151
NY,intensive,590.7,68.4,659,541,354
OH,reserve,409,0,409,0,0
OH,conservation,401.9,1.6,403.4,26,16
OH,BAU,390.6,4,394.6,67,42
OH,intensive,366.3,9.3,375.6,157,99
OK,reserve,442.4,0,442.4,0,0
OK,conservation,434.4,1.8,436.2,18,11
OK,BAU,421.8,4.7,426.5,47,28
OK,intensive,394.8,10.7,405.5,110,67
OR,reserve,1248.3,0,1248.3,0,0
OR,conservation,1247.6,0.2,1247.8,1,0
OR,BAU,1246.6,0.4,1247,2,1
OR,intensive,1243.9,0.9,1244.8,4,3
PA,reserve,826.2,0,826.2,0,0
PA,conservation,806.3,4.4,810.6,35,22
PA,BAU,776.7,10.8,787.4,87,55
PA,intensive,708.9,25.2,734.1,209,134
RI,reserve,17.3,0,17.3,0,0
RI,conservation,17.3,0,17.3,5,3
RI,BAU,17.2,0,17.2,12,8
RI,intensive,17,0.1,17.1,29,19
SC,reserve,541.9,0,541.9,0,0
SC,conservation,406.5,28.9,435.4,312,200
SC,BAU,254.5,58.4,312.9,717,478
SC,intensive,108.7,80.4,189,1241,883
SD,reserve,35.3,0,35.3,0,0
SD,conservation,34.6,0.1,34.8,9,6
SD,BAU,33.7,0.3,34,22,14
SD,intensive,31.4,0.8,32.2,55,35
TN,reserve,727.3,0,727.3,0,0
TN,conservation,460.6,55.7,516.3,595,390
TN,BAU,230.2,96.3,326.6,1245,862
TN,intensive,75.2,111.9,187.1,1963,1476
TX,reserve,1028.9,0,1028.9,0,0
TX,conservation,1008.5,4.6,1013.1,9,6
TX,BAU,974.5,12.2,986.7,25,15
TX,intensive,907.8,26.9,934.7,56,35
UT,reserve,231.5,0,231.5,0,0
UT,conservation,231.5,0,231.5,0,0
UT,BAU,231.4,0,231.4,0,0
UT,intensive,231.2,0.1,231.3,0,0
VA,reserve,879.1,0,879.1,0,0
VA,conservation,863.4,3.4,866.8,28,18
VA,BAU,837.7,9,846.8,74,47
VA,intensive,785.2,20.4,805.6,169,107
VT,reserve,197.4,0,197.4,0,0
VT,conservation,195.2,0.5,195.7,14,9
VT,BAU,192.2,1.1,193.3,34,21
VT,intensive,184.4,2.8,187.2,85,54
WA,reserve,1022.8,0,1022.8,0,0
WA,conservation,1020.9,0.4,1021.3,3,2
WA,BAU,1018.1,1,1019.1,6,4
WA,intensive,1010.9,2.5,1013.4,16,10
WI,reserve,636.1,0,636.1,0,0
WI,conservation,373.3,54.5,427.8,500,329
WI,BAU,183.4,87,270.4,969,673
WI,intensive,51.1,98,149.2,1539,1175
WV,reserve,687.8,0,687.8,0,0
WV,conservation,672.9,3.3,676.1,36,22
WV,BAU,650.3,8.2,658.5,90,57
WV,intensive,599.8,19,618.8,215,137
WY,reserve,232.1,0,232.1,0,0
WY,conservation,231.9,0,232,0,0
WY,BAU,231.8,0.1,231.8,1,0
WY,intensive,231.3,0.2,231.5,2,1
