state,scenario,forest_2100_TgC,hwp_2100_TgC,total_2100_TgC,npv_timber_perha_0.03,npv_timber_perha_0.05
UT,conservation,167.2,0,167.2,0,0
UT,BAU,167.1,0,167.1,0,0
UT,intensive,167,0,167,0,0
VA,reserve,778.9,0,778.9,0,0
VA,conservation,763.3,3.3,766.7,28,18
VA,BAU,737.9,8.8,746.7,75,48
VA,intensive,686,19.7,705.7,172,110
VT,reserve,180.9,0,180.9,0,0
VT,conservation,178.8,0.4,179.2,14,9
VT,BAU,175.7,1.1,176.8,34,22
VT,intensive,168,2.7,170.7,85,55
WA,reserve,1178.1,0,1178.1,0,0
WA,conservation,1176,0.5,1176.5,3,2
WA,BAU,1172.9,1.1,1174.1,7,4
WA,intensive,1164.9,2.9,1167.8,18,11
WI,reserve,581.3,0,581.3,0,0
WI,conservation,311.3,54.8,366.1,521,343
WI,BAU,120.7,85.4,206.1,1008,702
WI,intensive,1.2,89.9,91.1,1596,1225
WV,reserve,487.4,0,487.4,0,0
WV,conservation,474.4,2.7,477.2,33,21
WV,BAU,454.8,6.8,461.6,83,54
WV,intensive,411.2,15.7,426.9,198,130
WY,reserve,175,0,175,0,0
WY,conservation,174.9,0,174.9,0,0
WY,BAU,174.8,0.1,174.8,1,0
WY,intensive,174.4,0.1,174.5,2,1
