ST,year,mean,rel_lo,rel_hi,ndraw
NY,2055,86.084,0.9865,1.0186,24
NY,2060,92.738,0.9868,1.0181,24
NY,2065,98.906,0.9876,1.0144,24
NY,2070,104.476,0.989,1.0092,24
NY,2075,109.426,0.9913,1.0057,24
NY,2080,113.738,0.9929,1.0035,24
NY,2085,117.566,0.9941,1.0029,24
NY,2090,121.115,0.9938,1.0029,24
NY,2095,124.54,0.9934,1.0026,24
NY,2100,127.857,0.9924,1.0022,24
NY,2105,131.018,0.9923,1.0025,24
NY,2110,134.085,0.992,1.0031,24
NY,2115,137.016,0.9918,1.0038,24
NY,2120,139.84,0.9917,1.0043,24
NY,2125,142.541,0.9913,1.0048,24
OH,2025,26.796,1.0,1.0,24
OH,2030,46.427,0.9935,1.0111,24
OH,2035,56.893,0.9906,1.0193,24
OH,2040,66.241,0.9885,1.0233,24
OH,2045,74.822,0.9863,1.0274,24
OH,2050,82.92,0.9834,1.0298,24
OH,2055,90.437,0.9841,1.0243,24
OH,2060,96.896,0.9838,1.0207,24
OH,2065,102.64,0.9849,1.0169,24
OH,2070,107.667,0.9862,1.015,24
OH,2075,112.17,0.9871,1.0132,24
OH,2080,116.331,0.9888,1.0119,24
OH,2085,120.1,0.9907,1.0104,24
OH,2090,123.571,0.992,1.0098,24
OH,2095,126.767,0.9922,1.0107,24
OH,2100,129.805,0.9922,1.0112,24
OH,2105,132.697,0.992,1.0115,24
OH,2110,135.443,0.9914,1.0117,24
OH,2115,138.07,0.9908,1.012,24
OH,2120,140.588,0.9902,1.0123,24
OH,2125,142.964,0.9898,1.0129,24
OR,2025,11.898,1.0,1.0,30
OR,2030,25.311,0.9805,1.0131,30
OR,2035,31.589,0.9671,1.0186,30
OR,2040,37.618,0.9609,1.0221,30
OR,2045,43.962,0.9562,1.0231,30
OR,2050,50.019,0.9552,1.0304,30
OR,2055,56.174,0.9554,1.0295,30
OR,2060,61.911,0.96,1.0329,30
OR,2065,67.557,0.9606,1.0301,30
OR,2070,72.744,0.9635,1.0262,30
OR,2075,77.523,0.9684,1.0209,30
OR,2080,81.659,0.9727,1.0183,30
OR,2085,85.244,0.9758,1.0183,30
OR,2090,88.533,0.9781,1.018,30
OR,2095,91.509,0.9805,1.0183,30
OR,2100,94.369,0.9805,1.0172,30
OR,2105,96.988,0.9812,1.0171,30
OR,2110,99.503,0.9805,1.0167,30
OR,2115,101.804,0.9812,1.016,30
OR,2120,103.891,0.9813,1.0152,30
OR,2125,105.797,0.9807,1.0144,30
PA,2025,21.511,1.0,1.0,24
PA,2030,37.792,0.9953,1.0071,24
PA,2035,45.456,0.9927,1.0108,24
PA,2040,52.29,0.9904,1.0155,24
PA,2045,58.677,0.989,1.0166,24
PA,2050,64.417,0.9881,1.0167,24
PA,2055,69.846,0.9886,1.0173,24
PA,2060,75.016,0.99,1.0149,24
PA,2065,79.829,0.9891,1.0092,24
PA,2070,83.774,0.9917,1.0065,24
PA,2075,87.273,0.9939,1.0044,24
PA,2080,90.406,0.9947,1.0045,24
PA,2085,93.383,0.9941,1.0052,24
PA,2090,96.243,0.993,1.0062,24
PA,2095,98.995,0.9926,1.0065,24
PA,2100,101.636,0.9916,1.0071,24
PA,2105,104.115,0.9907,1.0082,24
PA,2110,106.454,0.9901,1.0093,24
PA,2115,108.706,0.9898,1.0102,24
PA,2120,110.897,0.9891,1.011,24
PA,2125,113.014,0.9884,1.0113,24
TN,2025,33.543,1.0,1.0,24
TN,2030,51.483,1.0,1.0,24
TN,2035,62.848,1.0,1.0,24
TN,2040,72.681,1.0,1.0,24
TN,2045,83.119,1.0,1.0,24
TN,2050,93.523,1.0,1.0,24
TN,2055,103.689,1.0,1.0,24
TN,2060,113.189,1.0,1.0,24
TN,2065,121.661,1.0,1.0,24
TN,2070,130.232,1.0,1.0,24
TN,2075,137.759,1.0,1.0,24
TN,2080,144.615,1.0,1.0,24
TN,2085,151.013,1.0,1.0,24
TN,2090,156.61,1.0,1.0,24
TN,2095,161.547,1.0,1.0,24
TN,2100,166.06,1.0,1.0,24
TN,2105,170.097,1.0,1.0,24
TN,2110,173.7,1.0,1.0,24
TN,2115,177.168,1.0,1.0,24
TN,2120,180.253,1.0,1.0,24
TN,2125,183.315,1.0,1.0,24
VA,2025,30.401,1.0,1.0,24
VA,2030,49.349,1.0,1.0,24
VA,2035,62.031,1.0,1.0,24
VA,2040,72.267,1.0,1.0,24
VA,2045,82.635,1.0,1.0,24
VA,2050,92.553,1.0,1.0,24
VA,2055,101.545,1.0,1.0,24
VA,2060,110.105,1.0,1.0,24
VA,2065,117.938,1.0,1.0,24
VA,2070,125.443,1.0,1.0,24
VA,2075,132.323,1.0,1.0,24
VA,2080,138.641,1.0,1.0,24
VA,2085,144.402,1.0,1.0,24
VA,2090,149.691,1.0,1.0,24
VA,2095,154.546,1.0,1.0,24
VA,2100,159.131,1.0,1.0,24
VA,2105,163.154,1.0,1.0,24
VA,2110,167.277,1.0,1.0,24
VA,2115,170.926,1.0,1.0,24
VA,2120,174.168,1.0,1.0,24
VA,2125,177.025,1.0,1.0,24
WA,2025,12.552,1.0,1.0,30
WA,2030,23.429,0.9843,1.0153,30
WA,2035,27.659,0.9696,1.0176,30
WA,2040,31.625,0.9684,1.0257,30
WA,2045,36.052,0.9566,1.0269,30
WA,2050,40.468,0.9547,1.0304,30
WA,2055,44.837,0.9511,1.0286,30
WA,2060,48.978,0.9497,1.0291,30
WA,2065,53.033,0.9479,1.0278,30
WA,2070,56.826,0.9493,1.0322,30
WA,2075,60.579,0.9468,1.0282,30
WA,2080,64.006,0.9489,1.0284,30
WA,2085,67.094,0.9535,1.0248,30
WA,2090,69.597,0.9623,1.0271,30
WA,2095,71.946,0.9683,1.0269,30
WA,2100,73.942,0.973,1.0249,30
WA,2105,75.557,0.9757,1.0224,30
WA,2110,76.857,0.9783,1.0196,30
WA,2115,77.886,0.9815,1.0197,30
WA,2120,78.77,0.9821,1.0203,30
WA,2125,79.55,0.9796,1.022,30
WI,2025,28.229,1.0,1.0,24
WI,2030,43.578,1.0,1.0,24
WI,2035,50.39,1.0,1.0,24
WI,2040,55.733,1.0,1.0,24
WI,2045,61.054,1.0,1.0,24
WI,2050,66.453,1.0,1.0,24
WI,2055,71.555,1.0,1.0,24
WI,2060,76.09,1.0,1.0,24
WI,2065,80.709,1.0,1.0,24
WI,2070,85.201,1.0,1.0,24
WI,2075,89.39,1.0,1.0,24
WI,2080,93.186,1.0,1.0,24
WI,2085,96.747,1.0,1.0,24
WI,2090,99.898,1.0,1.0,24
WI,2095,102.934,1.0,1.0,24
WI,2100,105.72,1.0,1.0,24
WI,2105,107.977,1.0,1.0,24
WI,2110,110.327,1.0,1.0,24
WI,2115,112.385,1.0,1.0,24
WI,2120,114.301,1.0,1.0,24
WI,2125,116.094,1.0,1.0,24
