model,dom,scenario,year,agc_TgC_anchored,agc_TgC_anchored_se
CEM,20,reserve,2070,44.833,2.081
CEM,20,reserve,2075,44.095,1.937
CEM,20,reserve,2080,43.428,1.932
CEM,20,reserve,2085,43.031,1.828
CEM,20,reserve,2090,42.646,2.071
CEM,20,reserve,2095,42.216,2.167
CEM,20,reserve,2100,41.848,1.931
CEM,21,reserve,2025,393.71,4.866
CEM,21,reserve,2030,378.857,6.276
CEM,21,reserve,2035,362.784,7.142
CEM,21,reserve,2040,345.625,6.822
CEM,21,reserve,2045,327.065,7.392
CEM,21,reserve,2050,307.874,8.567
CEM,21,reserve,2055,289.136,8.254
CEM,21,reserve,2060,273.318,7.827
CEM,21,reserve,2065,259.671,7.761
CEM,21,reserve,2070,247.031,7.365
CEM,21,reserve,2075,236.615,7.24
CEM,21,reserve,2080,227.588,6.745
CEM,21,reserve,2085,219.455,6.323
CEM,21,reserve,2090,212.743,5.719
CEM,21,reserve,2095,207.441,6.403
CEM,21,reserve,2100,202.634,6.542
CEM,22,reserve,2025,339.71,6.827
CEM,22,reserve,2030,300.553,7.592
CEM,22,reserve,2035,289.538,7.095
CEM,22,reserve,2040,284.307,8.239
CEM,22,reserve,2045,281.371,8.858
CEM,22,reserve,2050,279.982,7.35
CEM,22,reserve,2055,277.621,7.297
CEM,22,reserve,2060,276.448,7.123
CEM,22,reserve,2065,277.099,7.609
CEM,22,reserve,2070,277.539,7.208
CEM,22,reserve,2075,276.241,7.089
CEM,22,reserve,2080,276.054,7.552
CEM,22,reserve,2085,276.895,7.009
CEM,22,reserve,2090,276.781,6.169
CEM,22,reserve,2095,276.45,6.736
CEM,22,reserve,2100,275.514,7.825
CEM,25,reserve,2025,112.19,2.855
CEM,25,reserve,2030,99.855,3.417
CEM,25,reserve,2035,95.282,3.689
CEM,25,reserve,2040,91.753,4.225
CEM,25,reserve,2045,88.798,4.413
CEM,25,reserve,2050,86.349,3.712
CEM,25,reserve,2055,84.007,3.562
CEM,25,reserve,2060,81.695,3.712
CEM,25,reserve,2065,79.941,3.43
CEM,25,reserve,2070,78.39,3.498
CEM,25,reserve,2075,77.456,3.454
CEM,25,reserve,2080,76.424,3.767
CEM,25,reserve,2085,75.401,3.976
CEM,25,reserve,2090,74.652,3.902
CEM,25,reserve,2095,73.909,3.964
CEM,25,reserve,2100,73.219,3.893
CEM,24,reserve,2025,96.25,3.759
CEM,24,reserve,2030,87.738,3.632
CEM,24,reserve,2035,83.181,4.063
CEM,24,reserve,2040,80.801,4.166
CEM,24,reserve,2045,78.931,3.621
CEM,24,reserve,2050,77.671,3.441
CEM,24,reserve,2055,76.483,3.496
CEM,24,reserve,2060,75.375,3.731
CEM,24,reserve,2065,74.515,3.533
CEM,24,reserve,2070,73.706,3.215
CEM,24,reserve,2075,72.843,3.09
CEM,24,reserve,2080,72.157,3.039
CEM,24,reserve,2085,71.612,3.139
CEM,24,reserve,2090,71.216,3.14
CEM,24,reserve,2095,70.844,3.316
CEM,24,reserve,2100,70.522,3.147
CEM,23,reserve,2025,374.02,2.095
CEM,23,reserve,2030,336.27,2.893
CEM,23,reserve,2035,311.741,2.844
CEM,23,reserve,2040,291.946,2.62
CEM,23,reserve,2045,275.195,2.944
CEM,23,reserve,2050,261.498,2.839
CEM,23,reserve,2055,249.992,2.915
CEM,23,reserve,2060,240.038,2.726
CEM,23,reserve,2065,231.306,2.82
CEM,23,reserve,2070,223.82,2.695
CEM,23,reserve,2075,217.38,2.47
CEM,23,reserve,2080,211.724,2.332
CEM,23,reserve,2085,206.846,2.099
CEM,23,reserve,2090,202.482,2.229
CEM,23,reserve,2095,198.635,2.248
CEM,23,reserve,2100,195.195,2.58
CEM,26,reserve,2025,512.45,2.69
CEM,26,reserve,2030,463.275,3.928
CEM,26,reserve,2035,434.916,4.1
CEM,26,reserve,2040,412.35,4.715
CEM,26,reserve,2045,394.008,4.716
CEM,26,reserve,2050,377.832,5.655
CEM,26,reserve,2055,363.32,4.693
CEM,26,reserve,2060,351.293,4.162
CEM,26,reserve,2065,340.773,5.004
CEM,26,reserve,2070,332.228,4.732
CEM,26,reserve,2075,325.643,4.716
CEM,26,reserve,2080,319.725,4.518
CEM,26,reserve,2085,315.058,4.494
CEM,26,reserve,2090,310.447,4.604
CEM,26,reserve,2095,306.631,4.788
CEM,26,reserve,2100,303.742,4.524
CEM,27,reserve,2025,308.78,1.44
CEM,27,reserve,2030,268.395,2.248
CEM,27,reserve,2035,246.92,2.764
CEM,27,reserve,2040,231.447,2.733
CEM,27,reserve,2045,220.877,2.916
CEM,27,reserve,2050,212.271,2.927
CEM,27,reserve,2055,204.874,2.76
CEM,27,reserve,2060,198.87,2.661
CEM,27,reserve,2065,193.916,2.306
CEM,27,reserve,2070,189.782,2.571
CEM,27,reserve,2075,186.692,2.415
CEM,27,reserve,2080,184.066,2.527
CEM,27,reserve,2085,181.664,2.588
CEM,27,reserve,2090,179.698,2.69
CEM,27,reserve,2095,177.853,2.259
CEM,27,reserve,2100,176.283,2.415
CEM,29,reserve,2025,401.36,3.515
CEM,29,reserve,2030,377.819,4.829
CEM,29,reserve,2035,362.15,4.966
CEM,29,reserve,2040,347.084,5.743
CEM,29,reserve,2045,333.434,4.976
CEM,29,reserve,2050,320.776,5.765
CEM,29,reserve,2055,309.21,5.561
CEM,29,reserve,2060,298.079,5.359
CEM,29,reserve,2065,289.701,5.49
CEM,29,reserve,2070,281.636,5.327
CEM,29,reserve,2075,274.974,5.935
CEM,29,reserve,2080,268.563,5.687
CEM,29,reserve,2085,263.195,5.355
CEM,29,reserve,2090,258.139,5.519
CEM,29,reserve,2095,254.194,5.347
CEM,29,reserve,2100,250.59,5.759
CEM,28,reserve,2025,523.05,6.585
CEM,28,reserve,2030,455.831,5.991
CEM,28,reserve,2035,432.947,6.665
CEM,28,reserve,2040,418.891,7.001
CEM,28,reserve,2045,405.957,7.725
CEM,28,reserve,2050,398.316,8.042
CEM,28,reserve,2055,392.246,8.561
CEM,28,reserve,2060,387.109,7.119
CEM,28,reserve,2065,382.073,7.094
CEM,28,reserve,2070,378.71,7.748
CEM,28,reserve,2075,374.797,8.233
CEM,28,reserve,2080,371.958,8.434
CEM,28,reserve,2085,369.21,7.327
CEM,28,reserve,2090,365.223,6.653
CEM,28,reserve,2095,363.812,7.935
CEM,28,reserve,2100,361.286,6.909
CEM,30,reserve,2025,395.97,4.57
CEM,30,reserve,2030,378.886,6.71
CEM,30,reserve,2035,365.54,7.483
CEM,30,reserve,2040,353.604,8.378
CEM,30,reserve,2045,340.713,8.737
CEM,30,reserve,2050,325.219,7.952
CEM,30,reserve,2055,307.491,8.178
CEM,30,reserve,2060,288.617,8.402
CEM,30,reserve,2065,271.582,7.454
CEM,30,reserve,2070,258.692,8.049
CEM,30,reserve,2075,247.647,7.856
CEM,30,reserve,2080,237.796,7.835
CEM,30,reserve,2085,229.289,7.342
CEM,30,reserve,2090,221.378,7.144
CEM,30,reserve,2095,214.336,7.364
CEM,30,reserve,2100,208.004,7.399
CEM,37,reserve,2025,568.76,3.007
CEM,37,reserve,2030,543.495,3.708
CEM,37,reserve,2035,532.435,4.126
CEM,37,reserve,2040,518.656,4.954
CEM,37,reserve,2045,501.822,4.913
CEM,37,reserve,2050,485.435,4.835
CEM,37,reserve,2055,470.416,5.008
CEM,37,reserve,2060,455.975,5.067
CEM,37,reserve,2065,442.811,4.731
CEM,37,reserve,2070,430.144,4.961
CEM,37,reserve,2075,419.391,5.195
CEM,37,reserve,2080,409.084,4.725
CEM,37,reserve,2085,399.716,5.227
CEM,37,reserve,2090,392.141,5.75
CEM,37,reserve,2095,384.878,4.458
CEM,37,reserve,2100,378.423,4.157
CEM,38,reserve,2025,10.39,0.512
CEM,38,reserve,2030,9.85,0.644
CEM,38,reserve,2035,9.633,0.605
CEM,38,reserve,2040,9.623,0.659
CEM,38,reserve,2045,9.577,0.698
CEM,38,reserve,2050,9.556,0.61
CEM,38,reserve,2055,9.526,0.626
CEM,38,reserve,2060,9.399,0.66
CEM,38,reserve,2065,9.316,0.632
CEM,38,reserve,2070,9.179,0.688
CEM,38,reserve,2075,9.13,0.684
CEM,38,reserve,2080,9.073,0.725
CEM,38,reserve,2085,8.977,0.714
CEM,38,reserve,2090,8.914,0.709
CEM,38,reserve,2095,8.874,0.692
CEM,38,reserve,2100,8.821,0.669
CEM,31,reserve,2025,22.4,0.823
CEM,31,reserve,2030,22.161,1.11
CEM,31,reserve,2035,21.389,1.116
CEM,31,reserve,2040,21.025,1.344
CEM,31,reserve,2045,20.673,1.472
CEM,31,reserve,2050,20.448,1.41
CEM,31,reserve,2055,20.387,1.403
CEM,31,reserve,2060,20.22,1.526
CEM,31,reserve,2065,19.412,1.406
CEM,31,reserve,2070,19.011,1.383
CEM,31,reserve,2075,18.724,1.257
CEM,31,reserve,2080,18.43,1.366
CEM,31,reserve,2085,18.231,1.315
CEM,31,reserve,2090,18.152,1.381
CEM,31,reserve,2095,18.038,1.417
CEM,31,reserve,2100,17.83,1.325
CEM,33,reserve,2025,153.16,1.19
CEM,33,reserve,2030,136.701,1.474
CEM,33,reserve,2035,124.542,1.395
CEM,33,reserve,2040,114.817,1.516
CEM,33,reserve,2045,106.997,1.389
CEM,33,reserve,2050,100.593,1.432
CEM,33,reserve,2055,95.445,1.481
CEM,33,reserve,2060,91.206,1.427
CEM,33,reserve,2065,87.751,1.504
CEM,33,reserve,2070,84.854,1.462
CEM,33,reserve,2075,82.471,1.219
CEM,33,reserve,2080,80.473,1.237
CEM,33,reserve,2085,78.873,1.274
CEM,33,reserve,2090,77.475,1.193
CEM,33,reserve,2095,76.343,1.167
CEM,33,reserve,2100,75.371,1.187
CEM,34,reserve,2025,59.18,1.49
CEM,34,reserve,2030,55.444,1.653
CEM,34,reserve,2035,53.481,1.602
CEM,34,reserve,2040,52.015,1.487
CEM,34,reserve,2045,50.866,1.443
CEM,34,reserve,2050,49.842,1.617
CEM,34,reserve,2055,48.945,1.431
CEM,34,reserve,2060,48.18,1.518
CEM,34,reserve,2065,47.539,1.534
CEM,34,reserve,2070,47.078,1.404
CEM,34,reserve,2075,46.618,1.304
CEM,34,reserve,2080,46.259,1.271
CEM,34,reserve,2085,45.862,1.286
CEM,34,reserve,2090,45.532,1.319
CEM,34,reserve,2095,45.298,1.189
CEM,34,reserve,2100,45.034,1.276
CEM,35,reserve,2025,160.7,2.04
CEM,35,reserve,2030,141.542,2.597
CEM,35,reserve,2035,126.087,3.01
CEM,35,reserve,2040,114.061,3.244
CEM,35,reserve,2045,104.689,2.811
CEM,35,reserve,2050,97.316,2.87
CEM,35,reserve,2055,91.565,3.063
CEM,35,reserve,2060,87.146,3.049
CEM,35,reserve,2065,83.607,2.666
CEM,35,reserve,2070,80.888,2.815
CEM,35,reserve,2075,78.712,2.649
