PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha
53114,22398249010497,2002,47.393739,-121.254899,37,3,,111.702,,,,,,,,,,141.583,,,,,,,,,,154.172
53270,24160953010900,2002,46.534104,-121.997017,41,3,,191.186,,,,,,,,,,192.801,,,,,,,,,,182.075
53377,24204728010900,2002,48.848467,-121.774165,73,3,,265.024,,,,,,,,,,231.621,,,,,,,,,,198.407
53442,24144773010900,2002,47.512526,-123.978153,27,3,,444.252,,,,,,,,,,425.959,,,,,,,,,,422.928
53481,24143992010900,2002,47.379638,-123.62455,27,3,,370.652,,,,,,,,,,385.785,,,,,,,,,,320.765
53571,22398354010497,2002,48.155458,-121.44677,61,3,,399.981,,,,,,,,,,445.562,,,,,,,,,,486.847
53702,22398248010497,2002,47.311365,-120.746793,37,3,,294.936,,,,,,,,,,354.334,,,,,,,,,,325.705
53720,24188988010900,2002,45.926966,-122.080957,59,3,,74.561,,,,,,,,,,139.546,,,,,,,,,,214.094
53982,24122888010900,2002,47.701186,-120.273585,7,3,,290.629,,,,,,,,,,340.809,,,,,,,,,,332.51
54004,24135615010900,2002,48.452569,-118.405889,19,3,,103.792,,,,,,,,,,107.747,,,,,,,,,,165.079
54026,24165577010900,2002,47.572838,-123.246916,45,3,,263.619,,,,,,,,,,297.675,,,,,,,,,,279.024
54039,24131587010900,2002,46.044207,-122.414931,15,3,,1.149,,,,,,,,,,32.811,,,,,,,,,,101.744
54268,22398341010497,2002,46.164354,-121.966757,59,3,,417.151,,,,,,,,,,386.535,,,,,,,,,,341.3
54350,24190530010900,2002,46.093627,-121.54673,59,3,,249.021,,,,,,,,,,219.326,,,,,,,,,,277.902
54618,24165848010900,2002,48.029039,-119.952494,47,3,,14.552,,,,,,,,,,17.136,,,,,,,,,,21.537
54656,24167156010900,2002,48.331007,-120.371386,47,3,,231.06,,,,,,,,,,252.985,,,,,,,,,,20.64
54849,24152069010900,2002,47.76205,-121.64794,33,3,,39.071,,,,,,,,,,55.414,,,,,,,,,,74.497
54967,22398277010497,2002,48.907782,-118.933849,47,3,,102.045,,,,,,,,,,112.538,,,,,,,,,,123.297
55222,24134260010900,2002,48.105538,-118.572526,19,3,,74.172,,,,,,,,,,86.293,,,,,,,,,,99.055
55398,24166668010900,2002,48.222269,-119.075434,47,3,,93.102,,,,,,,,,,99.46,,,,,,,,,,113.354
56157,22398210010497,2002,46.167184,-122.252986,15,3,,61.451,,,,,,,,,,75.872,,,,,,,,,,77.388
56317,24134721010900,2002,48.248236,-118.414866,19,3,,65.303,,,,,,,,,,93.136,,,,,,,,,,97.466
56324,24134547010900,2002,48.231796,-118.73619,19,3,,93.715,,,,,,,,,,126.372,,,,,,,,,,162.451
56342,24135965010900,2002,48.572412,-118.431364,19,3,,49.855,,,,,,,,,,67.609,,,,,,,,,,84.336
56692,24203697010900,2002,48.747542,-121.003724,73,3,,186.491,,,,,,,,,,205.744,,,,,,,,,,262.22
56804,24155744010900,2002,47.419276,-121.119147,37,3,,80.312,,,,,,,,,,54.651,,,,,,,,,,69.762
57510,22398245010497,2002,47.386175,-121.108216,37,3,,259.723,,,,,,,,,,303.502,,,,,,,,,,218.777
57549,24203073010900,2002,48.701786,-121.695277,73,3,,320.166,,,,,,,,,,215.645,,,,,,,,,,178.832
57679,24144528010900,2002,47.473988,-124.325602,27,3,,3.229,,,,,,,,,,9.971,,,,,,,,,,27.857
57689,13230130010497,2002,46.388136,-122.169526,41,3,,778.188,,,,,,,,,,757.642,,,,,,,,,,781.002
58073,24168297010900,2002,48.502084,-120.44665,47,3,,7.795,,,,,,,,,,8.862,,,,,,,,,,9.909
58190,24168902010900,2002,48.551646,-119.173647,47,3,,87.592,,,,,,,,,,87.853,,,,,,,,,,106.409
58248,22398359010497,2002,48.206923,-121.452469,61,3,,11.924,,,,,,,,,,38.44,,,,,,,,,,94.839
58356,24174610010900,2002,48.963484,-119.967948,47,3,,117.237,,,,,,,,,,142.162,,,,,,,,,,148.207
58801,24164825010900,2002,47.27311,-122.866401,45,3,,38.652,,,,,,,,,,34.699,,,,,,,,,,70.764
58844,24130280010900,2002,46.047217,-122.285877,11,3,,430.645,,,,,,,,,,485.667,,,,,,,,,,254.886
58874,22398309010497,2002,48.496723,-117.406651,51,3,,61.44,,,,,,,,,,78.477,,,,,,,,,,93.954
58876,22398314010497,2002,46.983194,-121.931071,53,3,,261.079,,,,,,,,,,319.039,,,,,,,,,,351.157
58901,24120681010900,2002,46.082761,-117.278237,3,3,,50.263,,,,,,,,,,61.238,,,,,,,,,,86.68
58999,24121803010900,2002,47.620797,-120.813781,7,3,,157.317,,,,,,,,,,169.035,,,,,,,,,,152.888
59077,22398352010497,2002,46.064369,-121.835706,59,3,,34.836,,,,,,,,,,85.237,,,,,,,,,,151.4
59120,22398215010497,2002,48.529013,-118.69931,19,3,,90.147,,,,,,,,,,107.75,,,,,,,,,,60.906
59251,22398520010497,2002,48.661538,-120.728105,47,3,,242.729,,,,,,,,,,268.103,,,,,,,,,,309.089
59350,22398346010497,2002,46.0454,-121.724422,59,3,,398.57,,,,,,,,,,468.759,,,,,,,,,,444.06
59383,22398240010497,2002,47.406345,-120.965373,37,3,,123.83,,,,,,,,,,143.345,,,,,,,,,,156.337
59445,22398546010497,2002,48.936172,-117.288195,51,3,,208.368,,,,,,,,,,250.156,,,,,,,,,,261.788
59454,24197940010900,2002,48.289555,-117.645627,65,3,,71.656,,,,,,,,,,89.494,,,,,,,,,,105.955
59525,22398233010497,2002,47.569231,-123.945053,31,3,,111.269,,,,,,,,,,167.983,,,,,,,,,,239.01
59643,24121999010900,2002,47.639772,-120.416372,7,3,,65.447,,,,,,,,,,57.495,,,,,,,,,,82.058
59843,24154415010900,2002,47.174017,-120.512291,37,3,,170.656,,,,,,,,,,218.594,,,,,,,,,,200.495
60111,24132612010900,2002,46.169883,-122.280547,15,3,,605.642,,,,,,,,,,658.129,,,,,,,,,,680.542
60359,24180537010900,2002,48.827821,-117.601686,65,3,,41.868,,,,,,,,,,62.992,,,,,,,,,,82.9
60369,24153555010900,2002,47.068399,-120.940831,37,3,,154.302,,,,,,,,,,193.78,,,,,,,,,,199.967
60575,22398202010497,2002,48.116015,-120.321555,7,3,,199.15,,,,,,,,,,204.755,,,,,,,,,,214.868
60668,24153398010900,2002,46.982713,-120.87793,37,3,,37.035,,,,,,,,,,39.803,,,,,,,,,,87.944
60976,22398208010497,2002,48.109804,-124.14345,9,3,,254.875,,,,,,,,,,316.459,,,,,,,,,,354.028
61269,22398279010497,2002,48.918142,-119.378927,47,3,,103.585,,,,,,,,,,108.694,,,,,,,,,,113.687
61362,24195284010900,2002,48.293129,-121.116207,57,3,,37.189,,,,,,,,,,65.275,,,,,,,,,,93.385
61595,22398371010497,2002,48.948058,-121.798258,73,3,,521.337,,,,,,,,,,575.427,,,,,,,,,,521.87
61657,22398335010497,2002,46.145399,-121.794034,59,3,,414.07,,,,,,,,,,414.595,,,,,,,,,,452.914
61677,24172101010900,2002,48.785192,-120.64702,47,3,,26.478,,,,,,,,,,29.654,,,,,,,,,,35.584
61817,24208648010900,2002,46.437205,-121.285829,77,3,,390.358,,,,,,,,,,255.459,,,,,,,,,,237.56
62210,24187984010900,2002,45.794152,-121.697637,59,3,,277.94,,,,,,,,,,338.06,,,,,,,,,,367.31
62704,22398263010497,2002,46.61275,-121.611083,41,3,,247.313,,,,,,,,,,248.335,,,,,,,,,,279.595
62927,24157483010900,2002,45.960052,-121.226822,39,3,,87.622,,,,,,,,,,117.8,,,,,,,,,,133.615
62992,22398252010497,2002,46.658546,-121.491523,41,3,,334.967,,,,,,,,,,360.592,,,,,,,,,,398.263
63112,24121086010900,2002,47.359466,-120.576872,7,3,,43.578,,,,,,,,,,57.733,,,,,,,,,,74.59
63319,24149614010900,2002,47.270695,-121.434049,33,3,,143.94,,,,,,,,,,229.872,,,,,,,,,,253.892
63694,22398364010497,2002,48.256056,-121.447676,61,3,,5.623,,,,,,,,,,33.612,,,,,,,,,,59.491
63727,24193687010900,2002,48.154404,-121.049784,61,3,,364.777,,,,,,,,,,404.841,,,,,,,,,,441.066
63743,22398286010497,2002,48.158212,-120.20239,47,3,,198.538,,,,,,,,,,137.342,,,,,,,,,,81.784
63844,24210735010900,2002,46.823787,-121.170616,77,3,,397.653,,,,,,,,,,382.234,,,,,,,,,,185.182
64037,24160442010900,2002,46.489892,-122.717296,41,3,,114.836,,,,,,,,,,134.351,,,,,,,,,,110.928
64239,24191159010900,2002,46.245999,-122.106178,59,3,,9.597,,,,,,,,,,58.197,,,,,,,,,,142.311
64267,24196872010900,2002,47.980948,-118.175344,65,3,,9.235,,,,,,,,,,18.052,,,,,,,,,,32.305
64720,24193223010900,2002,48.109472,-121.412075,61,3,,733.035,,,,,,,,,,933.083,,,,,,,,,,956.488
64851,24165155010900,2002,47.454302,-123.436229,45,3,,65.577,,,,,,,,,,87.208,,,,,,,,,,128.471
65065,22398336010497,2002,46.302501,-121.581885,59,3,,133.787,,,,,,,,,,159.925,,,,,,,,,,203.061
65099,22398348010497,2002,46.117837,-121.578163,59,3,,489.011,,,,,,,,,,474.106,,,,,,,,,,333.292
65188,22398318010497,2002,48.380631,-121.772721,57,3,,200.454,,,,,,,,,,243.918,,,,,,,,,,262.219
65561,22398294010497,2002,48.75207,-120.278324,47,3,,148.565,,,,,,,,,,127.695,,,,,,,,,,5.099
65573,24186703010900,2002,48.575917,-121.477256,57,3,,275.966,,,,,,,,,,306.762,,,,,,,,,,315.394
65729,24188372010900,2002,45.875483,-122.222763,59,3,,98.896,,,,,,,,,,185.618,,,,,,,,,,265.044
65919,24167452010900,2002,48.322356,-119.80318,47,3,,4.86,,,,,,,,,,1.305,,,,,,,,,,7.316
66704,24122543010900,2002,47.655239,-120.638357,7,3,,50.559,,,,,,,,,,61.157,,,,,,,,,,68.72
66754,24169158010900,2002,48.637669,-120.813292,57,3,,129.477,,,,,,,,,,144.799,,,,,,,,,,156.696
66819,22398223010497,2002,48.830189,-118.221185,19,3,,110.926,,,,,,,,,,62.733,,,,,,,,,,40.863
66851,22398275010497,2002,48.811062,-118.976763,47,3,,109.005,,,,,,,,,,128.616,,,,,,,,,,132.928
66962,22398550010497,2002,48.375606,-117.453346,51,3,,45.768,,,,,,,,,,77.898,,,,,,,,,,139.173
66972,22398266010497,2002,47.400719,-123.283473,45,3,,233.288,,,,,,,,,,197.01,,,,,,,,,,220.191
67193,22398304010497,2002,48.426111,-117.443892,51,3,,126.229,,,,,,,,,,152.886,,,,,,,,,,140.788
67327,24146682010900,2002,47.671377,-124.036524,31,3,,468.532,,,,,,,,,,477.168,,,,,,,,,,488.251
67774,24201986010900,2002,46.293046,-123.527573,69,3,,2.154,,,,,,,,,,65.499,,,,,,,,,,134.154
68207,22398324010497,2002,48.455792,-121.708517,57,3,,543.092,,,,,,,,,,434.372,,,,,,,,,,223.26
68474,22398201010497,2002,47.645021,-120.44487,7,3,,46.436,,,,,,,,,,77.381,,,,,,,,,,109.998
68682,22398372010497,2002,48.997056,-121.918796,73,3,,244.607,,,,,,,,,,255.96,,,,,,,,,,272.428
68739,24192177010900,2002,47.894077,-121.571686,61,3,,188.443,,,,,,,,,,199.133,,,,,,,,,,195.181
68783,24194292010900,2002,48.204307,-121.633422,61,3,,128.081,,,,,,,,,,149.431,,,,,,,,,,146.386
69063,24181139010900,2002,48.94556,-117.390584,51,3,,153.72,,,,,,,,,,221.698,,,,,,,,,,273.447
69098,24197823010900,2002,48.290734,-118.023388,65,3,,41.776,,,,,,,,,,65.541,,,,,,,,,,100.57
69215,24163885010900,2002,47.7622,-118.321723,43,3,,78.863,,,,,,,,,,43.747,,,,,,,,,,27.708
70087,22398218010497,2002,48.513305,-118.3305,19,3,,122.702,,,,,,,,,,143.263,,,,,,,,,,144.584
70113,22398258010497,2002,46.709727,-121.921484,41,3,,153.094,,,,,,,,,,252.726,,,,,,,,,,364.459
70150,22398260010497,2002,46.398293,-122.083363,41,3,,352.258,,,,,,,,,,372.875,,,,,,,,,,382.51
70192,22398224010497,2002,48.517312,-118.25789,19,3,,56.114,,,,,,,,,,79.49,,,,,,,,,,88.516
70328,22398244010497,2002,47.233557,-120.572776,37,3,,89.669,,,,,,,,,,112.762,,,,,,,,,,13.887
70509,22398289010497,2002,48.548365,-119.257357,47,3,,64.439,,,,,,,,,,74.062,,,,,,,,,,65.137
70714,24211245010900,2002,46.849244,-120.835673,77,3,,40.593,,,,,,,,,,59.026,,,,,,,,,,73.518
71032,22398231010497,2002,47.456547,-123.548923,27,3,,586.251,,,,,,,,,,673.759,,,,,,,,,,526.438
71090,22398280010497,2002,48.834757,-118.967702,47,3,,139.354,,,,,,,,,,168.248,,,,,,,,,,165.301
71276,24175148010900,2002,46.399237,-123.731207,49,3,,437.241,,,,,,,,,,477.977,,,,,,,,,,454.622
71462,22398247010497,2002,47.3398,-121.300116,37,3,,15.868,,,,,,,,,,24.723,,,,,,,,,,30.941
71544,24134431010900,2002,48.105827,-118.353676,19,3,,37.018,,,,,,,,,,34.221,,,,,,,,,,48.3
71726,24195996010900,2002,47.744923,-117.638622,63,3,,111.555,,,,,,,,,,95.636,,,,,,,,,,56.195
72308,22398271010497,2002,48.461806,-120.401679,47,3,,65.116,,,,,,,,,,57.428,,,,,,,,,,50.994
72434,24168055010900,2002,48.430901,-118.949268,47,3,,157.419,,,,,,,,,,170.485,,,,,,,,,,26.516
72529,22398220010497,2002,48.866193,-118.375268,19,3,,32.783,,,,,,,,,,59.419,,,,,,,,,,34.55
72560,24182090010900,2002,46.91515,-121.900314,53,3,,288.832,,,,,,,,,,352.436,,,,,,,,,,390.56
72767,24143771010900,2002,47.432623,-123.763728,27,3,,331.329,,,,,,,,,,316.854,,,,,,,,,,210.44
72951,24151714010900,2002,47.726072,-122.074473,33,3,,386.638,,,,,,,,,,398.046,,,,,,,,,,437.524
72996,22398276010497,2002,48.631884,-120.320124,47,3,,150.604,,,,,,,,,,186.71,,,,,,,,,,184.681
73099,22398344010497,2002,46.371811,-122.138482,59,3,,309.615,,,,,,,,,,266.335,,,,,,,,,,315.997
73265,24162608010900,2002,46.665743,-122.392703,41,3,,549.875,,,,,,,,,,549.915,,,,,,,,,,690.381
73443,24173727010900,2002,48.895461,-119.371409,47,3,,104.383,,,,,,,,,,127.601,,,,,,,,,,154.666
73542,24147565010900,2002,47.775351,-122.952664,31,3,,139.878,,,,,,,,,,209.626,,,,,,,,,,275.774
73606,22398217010497,2002,48.793644,-118.383381,19,3,,123.365,,,,,,,,,,223.351,,,,,,,,,,187.478
73614,24146892010900,2002,47.676525,-122.941587,31,3,,6.99,,,,,,,,,,50.902,,,,,,,,,,162.134
73664,24136264010900,2002,48.607575,-118.279441,19,3,,105.148,,,,,,,,,,130.905,,,,,,,,,,136.851
73817,24179552010900,2002,48.659113,-117.166099,51,3,,98.357,,,,,,,,,,123.742,,,,,,,,,,142.517
73830,24154669010900,2002,47.318087,-121.261606,37,3,,20.84,,,,,,,,,,193.168,,,,,,,,,,146.068
74372,22398255010497,2002,46.732735,-122.288162,41,3,,470.247,,,,,,,,,,462.875,,,,,,,,,,554.666
74582,22398370010497,2002,48.823024,-121.910983,73,3,,102.576,,,,,,,,,,57.375,,,,,,,,,,38.07
74661,24194431010900,2002,48.252744,-121.419688,61,3,,190.116,,,,,,,,,,328.595,,,,,,,,,,440.121
74781,24151234010900,2002,47.598672,-121.666097,33,3,,104.596,,,,,,,,,,258.026,,,,,,,,,,380.741
74896,22398374010497,2002,48.874692,-121.769114,73,3,,119.462,,,,,,,,,,166.85,,,,,,,,,,259.334
74960,24149217010900,2002,47.216418,-121.793909,33,3,,91.52,,,,,,,,,,171.524,,,,,,,,,,269.303
75008,22398360010497,2002,48.185452,-121.490599,61,3,,444.174,,,,,,,,,,488.842,,,,,,,,,,559.763
75389,22398519010497,2002,48.591621,-119.701165,47,3,,55.225,,,,,,,,,,67.528,,,,,,,,,,10.16
75761,24203376010900,2002,48.746059,-121.54369,73,3,,358.406,,,,,,,,,,452.19,,,,,,,,,,429.052
75840,22398397010497,2002,47.405011,-120.464309,7,3,,136.747,,,,,,,,,,172.609,,,,,,,,,,186.499
75914,22398189010497,2002,47.719476,-120.265152,7,3,,24.327,,,,,,,,,,24.416,,,,,,,,,,12.215
76424,22398205010497,2002,48.08677,-124.058074,9,3,,455.695,,,,,,,,,,487.819,,,,,,,,,,415.317
76537,24145147010900,2002,47.520357,-124.170944,27,3,,170.55,,,,,,,,,,68.356,,,,,,,,,,87.049
76639,22398256010497,2002,46.424139,-121.848945,41,3,,228.095,,,,,,,,,,282.451,,,,,,,,,,371.537
76814,24129466010900,2002,48.263441,-124.55815,9,3,,137.733,,,,,,,,,,190.894,,,,,,,,,,251.228
76871,22398251010497,2002,46.99327,-121.054984,37,3,,120.274,,,,,,,,,,143.404,,,,,,,,,,169.973
77020,22398298010497,2002,48.856669,-119.010789,47,3,,108.817,,,,,,,,,,87.85,,,,,,,,,,41.622
77199,24133522010900,2002,46.345829,-122.350497,15,3,,83.437,,,,,,,,,,187.405,,,,,,,,,,275.795
77244,24140680010900,2002,46.93518,-123.674965,27,3,,81.181,,,,,,,,,,175.126,,,,,,,,,,271.753
77308,22398320010497,2002,48.352514,-121.591456,57,3,,742.922,,,,,,,,,,706.564,,,,,,,,,,794.954
77505,24127766010900,2002,48.0142,-124.281792,9,3,,508.111,,,,,,,,,,508.714,,,,,,,,,,459.212
77674,24168542010900,2002,48.522352,-120.075826,47,3,,88.419,,,,,,,,,,20.391,,,,,,,,,,10.739
77787,24209888010900,2002,46.77667,-121.355877,77,3,,235.255,,,,,,,,,,389.402,,,,,,,,,,393.855
77857,22398506010497,2002,48.554468,-120.484122,47,3,,179.489,,,,,,,,,,153.92,,,,,,,,,,28.256
77882,22398542010497,2002,48.937491,-117.251006,51,3,,123.925,,,,,,,,,,160.973,,,,,,,,,,170.927
77997,24162878010900,2002,46.701969,-122.052887,41,3,,189.247,,,,,,,,,,280.21,,,,,,,,,,354.189
78315,30826408020004,2002,46.15888,-117.466902,23,3,,228.962,,,,,,,,,,156.007,,,,,,,,,,160.852
78321,22398253010497,2002,46.490543,-121.857592,41,3,,162.027,,,,,,,,,,265.876,,,,,,,,,,411.165
78649,22398259010497,2002,46.46098,-121.752499,41,3,,142.525,,,,,,,,,,220.244,,,,,,,,,,274.303
78676,24156837010900,2002,45.775266,-121.150794,39,3,,167.966,,,,,,,,,,166.629,,,,,,,,,,184.441
78688,22398350010497,2002,45.917881,-121.837808,59,3,,201.956,,,,,,,,,,288.576,,,,,,,,,,303.908
78693,24158617010900,2002,46.393573,-121.962616,41,3,,454.805,,,,,,,,,,517.469,,,,,,,,,,582.058
79058,22398383010497,2002,47.067846,-121.346064,77,3,,120.472,,,,,,,,,,179.263,,,,,,,,,,206.602
79221,24128071010900,2002,48.059553,-123.962698,9,3,,465.336,,,,,,,,,,434.36,,,,,,,,,,495.799
79382,24207697010900,2002,46.281716,-121.435202,77,3,,193.717,,,,,,,,,,247.371,,,,,,,,,,276.315
79584,22398333010497,2002,46.238461,-121.65767,59,3,,475.101,,,,,,,,,,497.522,,,,,,,,,,663.714
79855,22398216010497,2002,48.803665,-118.711819,19,3,,69.628,,,,,,,,,,89.057,,,,,,,,,,85.309
79930,22398330010497,2002,46.169043,-122.212286,59,3,,89.915,,,,,,,,,,100.153,,,,,,,,,,123.336
79962,22398533010497,2002,48.661101,-120.701536,47,3,,186.421,,,,,,,,,,180.768,,,,,,,,,,203.39
80226,24187755010900,2002,45.749743,-122.071966,59,3,,99.7,,,,,,,,,,146.054,,,,,,,,,,187.761
80234,24124884010900,2002,47.950844,-120.833212,7,3,,4.364,,,,,,,,,,7.153,,,,,,,,,,10.828
80459,24185902010900,2002,48.552435,-122.238085,57,3,,14.65,,,,,,,,,,17.501,,,,,,,,,,18.744
80489,24136537010900,2002,48.731732,-118.79251,19,3,,161.638,,,,,,,,,,158.34,,,,,,,,,,73.307
80531,22398312010497,2002,48.496233,-117.32735,51,3,,160.961,,,,,,,,,,183.237,,,,,,,,,,192.562
80627,24173457010900,2002,48.923959,-120.643864,47,3,,200.231,,,,,,,,,,117.469,,,,,,,,,,108.163
80746,24145502010900,2002,47.553667,-123.636466,31,3,,50.812,,,,,,,,,,23.159,,,,,,,,,,61.612
81144,24144992010900,2002,47.521311,-124.255899,27,3,,20.819,,,,,,,,,,44.211,,,,,,,,,,63.808
81166,24158339010900,2002,46.041198,-120.391493,39,3,,108.043,,,,,,,,,,134.123,,,,,,,,,,31.951
81546,24161552010900,2002,46.585822,-121.819639,41,3,,50.311,,,,,,,,,,110.665,,,,,,,,,,194.729
81559,24196098010900,2002,47.7953,-117.281842,63,3,,6.302,,,,,,,,,,15.934,,,,,,,,,,27.521
81772,22398254010497,2002,46.709878,-121.752924,41,3,,521.228,,,,,,,,,,605.076,,,,,,,,,,567.268
81804,24196478010900,2002,48.04305,-117.124524,63,3,,206.468,,,,,,,,,,247.408,,,,,,,,,,286.697
81831,22398548010497,2002,48.899003,-117.105851,51,3,,187.88,,,,,,,,,,146.982,,,,,,,,,,178.373
82163,24151150010900,2002,47.567487,-121.506157,33,3,,34.766,,,,,,,,,,42.402,,,,,,,,,,46.399
82187,22398195010497,2002,47.68175,-120.74593,7,3,,90.187,,,,,,,,,,124.925,,,,,,,,,,8.502
82655,22398380010497,2002,46.387726,-121.499568,77,3,,232.659,,,,,,,,,,215.283,,,,,,,,,,242.429
82671,22398329010497,2002,45.918773,-121.768432,59,3,,77.61,,,,,,,,,,70.842,,,,,,,,,,71.597
82820,22398261010497,2002,46.411253,-121.506243,41,3,,387.749,,,,,,,,,,428.606,,,,,,,,,,471.609
82857,24153837010900,2002,47.098149,-121.048694,37,3,,156.756,,,,,,,,,,182.581,,,,,,,,,,155.486
83100,22398313010497,2002,48.522877,-117.367398,51,3,,236.657,,,,,,,,,,253.653,,,,,,,,,,300.545
83108,22398509010497,2002,48.160276,-120.352458,47,3,,64.421,,,,,,,,,,85.548,,,,,,,,,,101.132
83677,24184034010900,2002,47.207224,-122.111032,53,3,,196.756,,,,,,,,,,176.028,,,,,,,,,,138.609
84154,22398339010497,2002,45.945644,-121.872272,59,3,,118.453,,,,,,,,,,139.035,,,,,,,,,,158.742
84228,22398382010497,2002,46.947167,-121.163624,77,3,,174.076,,,,,,,,,,169.212,,,,,,,,,,167.919
84273,24174388010900,2002,48.979161,-120.489397,47,3,,78.88,,,,,,,,,,37.466,,,,,,,,,,37.653
84281,24157821010900,2002,45.991194,-120.856306,39,3,,77.88,,,,,,,,,,65.75,,,,,,,,,,110.661
84373,13229700010497,2002,47.988292,-124.102919,9,3,,239.931,,,,,,,,,,325.122,,,,,,,,,,360.879
84413,24146243010900,2002,47.624575,-123.115611,31,3,,157.771,,,,,,,,,,152.179,,,,,,,,,,140.984
84597,24197141010900,2002,47.944418,-117.646583,65,3,,77.684,,,,,,,,,,99.444,,,,,,,,,,107.458
84600,24150481010900,2002,47.429669,-121.644515,33,3,,74.713,,,,,,,,,,92.402,,,,,,,,,,104.248
85033,22398184010497,2002,47.771242,-120.482857,7,3,,34.859,,,,,,,,,,82.946,,,,,,,,,,93.207
85067,22398213010497,2002,48.665323,-118.460489,19,3,,12.127,,,,,,,,,,23.371,,,,,,,,,,31.619
85411,22398196010497,2002,47.909907,-120.24508,7,3,,123.741,,,,,,,,,,45.768,,,,,,,,,,27.693
85435,24148755010900,2002,47.871152,-123.881454,31,3,,596.056,,,,,,,,,,318.305,,,,,,,,,,217.846
85599,24126717010900,2002,47.917651,-123.032052,9,3,,57.914,,,,,,,,,,122.702,,,,,,,,,,182.937
85646,22398226010497,2002,47.430317,-123.863863,27,3,,181.945,,,,,,,,,,139.562,,,,,,,,,,184.575
85679,24155165010900,2002,47.311217,-120.946391,37,3,,266.039,,,,,,,,,,315.901,,,,,,,,,,303.585
85738,24210314010900,2002,46.772925,-121.034479,77,3,,47.926,,,,,,,,,,56.039,,,,,,,,,,64.999
86004,22398186010497,2002,47.88475,-121.058265,7,3,,111.826,,,,,,,,,,140.418,,,,,,,,,,144.426
86121,22398278010497,2002,48.703519,-120.316212,47,3,,127.805,,,,,,,,,,127.317,,,,,,,,,,10.047
86142,22398367010497,2002,48.978152,-118.137932,65,3,,0.74,,,,,,,,,,14.845,,,,,,,,,,15.613
