PLOT,FIA_PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_2000_Mgha,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha,BIOM_2023_Mgha,BIOM_2024_Mgha,BIOM_2025_Mgha
14,20004,54615517010661,2001,46.512003,-86.701451,3,5,,63.002,,,,,74.177,,,,,79.149,,,,,,96.184,,,,,,,94.992,
15,20004,54794166010661,2000,44.655056,-85.259259,79,5,80.829,,,,,89.719,,,,,90.822,,,,,76.054,,,,,,,59.419,,,
16,20004,54721247010661,2000,46.586573,-88.723342,61,5,173.176,,,,,158.542,,,,,167.574,,,,,,180.546,,,,,,,226.408,,
17,20004,55302940010661,2000,44.848078,-84.326239,135,5,49.333,,,,,66.813,,,,,91.33,,,,,,119.232,,,,,,,90.773,,
18,20005,55479063010661,2002,44.087405,-86.431128,105,5,,,77.971,,,,,112.569,,,,,121.072,,,,,,127.629,,,,,,,145.18
19,20005,54574922010661,2000,44.649465,-85.969693,19,5,88.6,,,,,118.049,,,,,132.161,,,,,150.403,,,,,,,190.245,,,
20,20005,54574192010661,2000,43.66193,-84.156021,17,5,7.357,,,,,8.78,,,,,12.303,,,,,6.744,,,,,,,12.599,,,
21,20006,55159497010661,2002,44.459465,-83.552933,69,5,,,64.74,,,,,69.221,,,,,80.395,,,,,,95.988,,,,,,,103.665
22,20006,55257440010661,2002,47.397918,-88.032327,83,5,,,116.068,,,,,130.298,,,,,147.759,,,,,,149.799,,,,,,,167.958
23,20006,55150032010661,2000,45.148611,-83.994106,119,5,54.09,,,,,54.386,,,,,61.872,,,,,70.735,,,,,,,73.601,,,
24,20006,54917657010661,2000,45.77702,-84.460838,97,5,185.426,,,,,196.515,,,,,180.575,,,,,188.105,,,,,,,190.533,,,
25,20007,54761374010661,2001,45.676055,-86.699205,41,5,,99.116,,,,,98.158,,,,,94.349,,,,,,100.363,,,,,,,103.195,
26,20007,54662545010661,2000,42.899831,-83.885263,49,5,4.795,,,,,8.17,,,,,13.464,,,,,25.579,,,,,,,48.126,,,
27,20007,55777032010661,2002,44.260544,-84.680482,143,5,,,99.741,,,,,108.717,,,,,128.204,,,,,,157.326,,,,,,,147.825
28,20007,54833310010661,2000,44.134806,-85.654818,85,5,159.268,,,,,188.129,,,,,204.426,,,,,,255.459,,,,,,,293.127,,
29,20007,54542720010661,2000,44.640089,-83.582825,1,5,71.937,,,,,72.851,,,,,81.311,,,,,,94.257,,,,,,,102.906,,
30,20007,54682760010661,2000,46.500531,-89.767348,53,5,125.344,,,,,128.78,,,,,156.288,,,,,,187.643,,,,,,,195.294,,
31,20008,55462836010661,2001,44.15181,-85.484349,133,5,,67.796,,,,,26.206,,,,,84.568,,,,,91.989,,,,,,,75.554,,
32,20008,54623417010661,2000,45.901466,-86.996619,41,5,119.887,,,,,137.189,,,,,139.165,,,,,156.965,,,,,,,159.288,,,
33,20008,54690655010661,2001,45.327623,-84.347691,31,5,,103.768,,,,,111.933,,,,,118.327,,,,,,147.402,,,,,,,150.571,
34,20008,55356470010661,2001,44.869683,-84.076159,119,5,,123.696,,,,,121.357,,,,,128.411,,,,,,94.577,,,,,,,64.87,
35,20009,55268335010661,2002,47.98382,-88.897907,83,5,,,176.911,,,,,177.432,,,,,177.552,,,,,,189.75,,,,,,,187.21
36,20009,54810707010661,2001,43.165422,-83.712295,49,5,,10.679,,,,,17.363,,,,,14.319,,,,,,88.996,,,,,,,110.292,
37,20010,62213277010661,2000,44.435972,-85.546695,165,5,123.408,,,,,139.174,,,,,142.073,,,,,,161.475,,,,,,,190.982,,
38,20010,54822366010661,2000,44.033986,-85.741616,85,5,234.696,,,,,248.614,,,,,260.106,,,,,,290.933,,,,,,,332.938,,
39,20011,54768964010661,2000,46.270047,-88.712294,71,5,141.84,,,,,154.612,,,,,161.398,,,,,,186.932,,,,,,,210.024,,
40,20012,55290992010661,2000,46.606696,-89.023079,131,5,96.932,,,,,98.901,,,,,114.87,,,,,122.323,,,,,,,143.751,,,
41,20012,54944257010661,2002,45.723532,-86.639399,41,5,,,47.961,,,,,57.981,,,,,59.275,,,,,,72.293,,,,,,,78.099
42,20012,55386362010661,2001,43.610805,-85.717494,123,5,,107.644,,,,,124.724,,,,,150.501,,,,,,168.03,,,,,,,204.656,
43,20012,55195068010661,2001,44.226602,-86.257207,101,5,,31.731,,,,,47.948,,,,,65.633,,,,,,83.899,,,,,,,109.908,
44,20012,55379201010661,2000,43.036518,-82.59756,147,5,293.613,,,,,262.347,,,,,303.713,,,,,,314.138,,,,,,,114.774,,
45,20013,55272724010661,2001,44.136432,-86.166829,105,5,,113.22,,,,,122.549,,,,,137.871,,,,,151.964,,,,,,,178.407,,
46,20013,54563490010661,2000,44.057325,-83.803091,11,5,45.885,,,,,44.161,,,,,52.528,,,,,54.416,,,,,,,68.486,,,
47,20014,54581560010661,2000,41.866527,-85.822793,27,5,26.061,,,,,32.57,,,,,41.525,,,,,51.288,,,,,,,31.971,,,
48,20014,54666647010661,2000,43.915313,-84.250475,51,5,85.388,,,,,91.067,,,,,111.097,,,,,119.751,,,,,,,147.144,,,
49,20014,55397413010661,2001,43.592215,-86.095248,127,5,,192.055,,,,,222.773,,,,,255.889,,,,,,284.625,,,,,,,319.43,
50,20014,54833418010661,2001,46.659003,-90.013131,53,5,,187.366,,,,,198.136,,,,,216.271,,,,,242.868,,,,,,,280.746,,
51,20014,55813114010661,2002,43.25617,-82.588108,151,5,,,86.321,,,,,99.743,,,,,123.782,,,,,,89.39,,,,,,,100.363
52,20015,54547799010661,2000,46.192009,-86.655958,3,5,101.48,,,,,47.785,,,,,51.846,,,,,65.744,,,,,,,56.985,,,
53,20015,54681678010661,2001,45.24049,-85.338538,29,5,,56.547,,,,,69.437,,,,,90.822,,,,,,84.269,,,,,,,60.265,
54,20015,54819108010661,2002,41.806403,-85.833198,27,5,,,85.487,,,,,81.058,,,,,128.022,,,,,,172.493,,,,,,,193.62
55,20016,54569902010661,2000,46.548258,-88.320694,13,5,31.166,,,,,40.048,,,,,51.383,,,,,,59.401,,,,,,,60.28,,
56,20016,55350751010661,2000,45.300969,-83.572566,141,5,34.352,,,,,33.232,,,,,42.769,,,,,,41.706,,,,,,,53.791,,
57,20017,54798796010661,2002,43.972649,-84.15826,17,5,,,131.571,,,,,116.654,,,,,138.444,,,,,,160.007,,,,,,,187.37
58,20017,54720136010661,2000,46.524479,-88.886978,61,5,119.497,,,,,129.65,,,,,141.312,,,,,148.398,,,,,,,143.23,,,
59,20017,55368743010661,2000,44.448104,-84.847576,143,5,56.733,,,,,52.507,,,,,57.783,,,,,63.134,,,,,,,67.91,,,
60,20017,55236689010661,2002,44.745031,-84.999712,79,5,,,108.626,,,,,112.15,,,,,134.084,,,,,,140.328,,,,,,,144.337
61,20018,54700568010661,2001,46.264346,-84.653752,33,5,,13.209,,,,,17.854,,,,,33.245,,,,,50.417,,,,,,,74.53,,
62,20018,55135730010661,2002,43.101659,-85.070822,67,5,,,8.443,,,,,16.876,,,,,24.625,,,,,,21.114,,,,,,,31.856
63,20019,55003298010661,2000,46.510416,-87.452105,103,5,177.622,,,,,177.316,,,,,192.55,,,,,,201.108,,,,,,,191.107,,
64,20019,55560783010661,2001,44.24647,-84.573604,143,5,,37.359,,,,,39.197,,,,,53.382,,,,,,,56.915,,,,,,,69.094
65,20019,54738697010661,2001,42.783153,-84.735004,37,5,,45.949,,,,,57.122,,,,,67.943,,,,,96.233,,,,,,,70.363,,
66,20020,54957905010661,2001,46.160425,-88.796585,71,5,,59.662,,,,,65.467,,,,,71.345,,,,,,,100.071,,,,,,,106.802
67,20020,54802582010661,2000,43.270643,-85.550605,81,5,57.362,,,,,59.274,,,,,83.26,,,,,,102.148,,,,,,,141.924,,
68,20020,54779875010661,2000,42.114459,-84.54397,75,5,205.699,,,,,216.138,,,,,306.901,,,,,362.096,,,,,,,438.252,,,
69,20020,54544906010661,2000,46.440212,-86.365159,3,5,70.998,,,,,69.535,,,,,76.171,,,,,81.639,,,,,,,81.837,,,
70,20020,55359289010661,2000,44.436789,-84.519799,143,5,8.552,,,,,7.633,,,,,7.987,,,,,8.077,,,,,,,8.557,,,
71,20020,55491685010661,2001,44.686015,-83.985441,135,5,,113.585,,,,,136.433,,,,,143.961,,,,,172.927,,,,,,,172.985,,
72,20021,55458000010661,2001,46.404102,-89.076181,131,5,,148.581,,,,,163.474,,,,,144.686,,,,,,159.381,,,,,,,172.743,
73,20021,54838017010661,2000,43.196915,-83.365157,87,5,9.467,,,,,11.245,,,,,15.718,,,,,12.859,,,,,,,5.708,,,
74,20022,54806722010661,2002,41.999974,-86.532582,21,5,,,119.215,,,,,129.058,,,,,124.053,,,,,,122.452,,,,,,,133.652
75,20022,54931114010661,2000,46.140612,-84.815141,97,5,255.575,,,,,269.752,,,,,285.044,,,,,315.482,,,,,,,317.066,,,
76,20022,55037155010661,2000,43.841782,-86.180372,105,5,7.958,,,,,8.215,,,,,10.939,,,,,13.463,,,,,,,21.185,,,
77,20022,54637110010661,2001,44.914655,-83.50497,7,5,,39.972,,,,,51.209,,,,,67.99,,,,,,,86.9,,,,,,,64.553
78,20023,55571080010661,2002,45.134315,-84.099767,119,5,,,69.487,,,,,71.874,,,,,81.46,,,,,,105.3,,,,,,,118.67
79,20023,54861001010661,2001,46.244213,-89.132205,53,5,,243.367,,,,,267.67,,,,,294.475,,,,,,333.054,,,,,,,328.838,
80,20023,54833089010661,2000,44.159324,-85.922484,85,5,26.826,,,,,33.412,,,,,50.185,,,,,,81.671,,,,,,,122.951,,
81,20023,54802694010661,2002,44.587766,-85.938462,19,5,,,80.082,,,,,92.158,,,,,120.164,,,,,,170.488,,,,,,,195.064
82,20024,55156268010661,2000,44.995341,-84.234159,119,5,83.005,,,,,92.626,,,,,93.02,,,,,,93.165,,,,,,,90.155,,
83,20024,55145857010661,2001,46.090426,-84.516081,97,5,,103.287,,,,,109.337,,,,,133.551,,,,,,132.325,,,,,,,85.218,
84,20024,55314288010661,2000,44.574775,-84.037612,135,5,35.704,,,,,40.895,,,,,47.228,,,,,,41.175,,,,,,,67.346,,
85,20025,55815156010661,2002,43.635593,-83.060624,151,5,,,90.89,,,,,122.827,,,,,129.066,,,,,,109.302,,,,,,,132.889
86,20025,54607407010661,2000,43.969973,-84.996978,35,5,212.597,,,,,171.251,,,,,185.913,,,,,,228.707,,,,,,,261.055,,
87,20025,55196855010661,2001,44.289015,-86.055506,101,5,,145.244,,,,,153.827,,,,,153.84,,,,,,,148.823,,,,,,,151.927
88,20025,54805043010661,2001,45.324842,-84.910502,47,5,,70.435,,,,,69.127,,,,,67.57,,,,,,59.347,,,,,,,43.547,
89,20026,55372387010661,2000,43.359276,-84.147991,145,5,19.403,,,,,26.252,,,,,35.426,,,,,41.068,,,,,,,21.681,,,
90,20026,60133237010661,2002,46.057047,-86.14694,153,5,,,26.739,,,,,30.722,,,,,35.24,,,,,,37.494,,,,,,,35.438
91,20026,54633657010661,2001,45.097658,-83.777448,7,5,,50.597,,,,,53.874,,,,,25.438,,,,,,,27.42,,,,,,,8.91
92,20027,55208315010661,2000,43.812346,-85.929027,123,5,180.929,,,,,188.356,,,,,205.235,,,,,226.498,,,,,,,246.333,,,
93,20027,54754913010661,2000,46.167194,-88.302464,71,5,86.298,,,,,83.361,,,,,87.815,,,,,,98.426,,,,,,,83.492,,
94,20027,62257675010661,2000,42.335089,-85.836959,159,5,0.671,,,,,1.506,,,,,14.524,,,,,,29.469,,,,,,,50.997,,
95,20027,55805293010661,2002,41.962568,-85.425745,149,5,,,72.488,,,,,89.166,,,,,102.146,,,,,,88.92,,,,,,,119.941
96,20027,54856478010661,2000,42.498595,-84.037324,93,5,66.93,,,,,83.025,,,,,111.55,,,,,,145.836,,,,,,,176.914,,
97,20028,54936991010661,2001,44.398829,-83.620351,69,5,,161.415,,,,,163.9,,,,,169.024,,,,,,196.83,,,,,,,161.183,
98,20028,55172488010661,2000,43.35508,-86.397234,121,5,171.614,,,,,179.711,,,,,107.86,,,,,124.537,,,,,,,143.299,,,
99,20028,55054622010661,2001,44.071937,-86.009736,85,5,,100.362,,,,,108.437,,,,,124.866,,,,,,148.645,,,,,,,152.857,
100,20028,55725617010661,2002,44.655169,-83.974359,135,5,,,132.503,,,,,165.747,,,,,170.382,,,,,,163.261,,,,,,,77.258
101,20028,55472521010661,2002,43.95201,-86.2133,105,5,,,20.974,,,,,28.61,,,,,34.341,,,,,,43.917,,,,,,,47.386
102,20029,54831973010661,2000,43.950244,-85.886257,85,5,89.652,,,,,94.255,,,,,100.058,,,,,117.815,,,,,,,132.026,,,
103,20029,55475694010661,2001,44.794497,-84.301856,135,5,,26.455,,,,,40.464,,,,,60.424,,,,,,,59.428,,,,,,,63.487
104,20029,55634768010661,2002,43.743821,-86.169061,127,5,,,137.807,,,,,141.549,,,,,154.718,,,,,,173.454,,,,,,,181.106
105,20030,54943863010661,2001,46.322012,-88.750156,71,5,,28.157,,,,,31.79,,,,,35.992,,,,,,19.739,,,,,,,19.462,
106,20030,54543242010661,2000,44.603201,-83.714847,1,5,39.67,,,,,50.258,,,,,62.437,,,,,91.035,,,,,,,109.491,,,
107,20030,55405573010661,2001,44.460454,-84.271164,129,5,,16.589,,,,,25.532,,,,,37.48,,,,,,30.442,,,,,,,43.296,
108,20030,54860641010661,2001,46.307216,-89.059809,53,5,,82.512,,,,,96.86,,,,,103.386,,,,,116.848,,,,,,,98.714,,
109,20031,55397332010661,2000,46.50456,-86.351863,153,5,70.947,,,,,75.945,,,,,86.355,,,,,,93.016,,,,,,,116.551,,
110,20031,54938094010661,2001,44.416699,-83.45809,69,5,,41.952,,,,,47.04,,,,,55.256,,,,,,72.954,,,,,,,81.911,
111,20031,55290797010661,2000,46.614346,-89.5442,131,5,3.579,,,,,15.037,,,,,28.384,,,,,,48.226,,,,,,,61.826,,
112,20031,54817457010661,2001,43.858244,-84.236464,51,5,,28.27,,,,,31.607,,,,,23.724,,,,,47.136,,,,,,,29.412,,
113,20031,54988091010661,2001,42.2159,-85.485113,77,5,,51.592,,,,,58.646,,,,,70.747,,,,,63.507,,,,,,,74.483,,
114,20032,55523260010661,2001,42.986815,-86.187306,139,5,,190.388,,,,,189.298,,,,,206.129,,,,,218.495,,,,,,,219.61,,
115,20032,54830140010661,2000,44.102116,-86.001989,85,5,148.205,,,,,155.144,,,,,175.384,,,,,,199.839,,,,,,,226.367,,
116,20032,55239242010661,2000,44.295426,-84.056814,129,5,14.524,,,,,20.872,,,,,29.324,,,,,,40.608,,,,,,,49.781,,
117,20032,54873183010661,2002,46.051067,-83.616489,33,5,,,156.296,,,,,127.985,,,,,112.702,,,,,,99.313,,,,,,,89.413
118,20033,54602530010661,2000,46.306788,-84.966276,33,5,119.938,,,,,114.218,,,,,123.171,,,,,134.818,,,,,,,121.009,,,
119,20033,54751537010661,2001,46.068523,-87.069204,41,5,,99.494,,,,,114.377,,,,,123.976,,,,,,150.29,,,,,,,153.935,
120,20033,54902401010661,2002,44.036115,-84.987483,35,5,,,71.516,,,,,19.946,,,,,38.278,,,,,,56.422,,,,,,,49.369
121,20033,55625967010661,2001,46.305872,-86.496128,153,5,,266.323,,,,,225.479,,,,,276.768,,,,,,,324.842,,,,,,,330.972
122,20033,54571590010661,2000,46.440707,-88.639905,13,5,166.482,,,,,188.065,,,,,191.282,,,,,,198.508,,,,,,,161.427,,
123,20033,55532777010661,2001,45.333674,-84.223223,141,5,,148.363,,,,,163.34,,,,,212.911,,,,,,205.153,,,,,,,246.103,
124,20035,55745969010661,2002,42.933769,-86.171969,139,5,,,201.25,,,,,194.428,,,,,263.73,,,,,,293.619,,,,,,,335.987
125,20035,55287517010661,2001,45.754215,-87.575701,109,5,,91.682,,,,,101.424,,,,,111.094,,,,,,124.863,,,,,,,134.355,
126,20035,54951899010661,2000,44.271714,-86.145753,101,5,63.919,,,,,71.955,,,,,83.179,,,,,,94.723,,,,,,,105.79,,
127,20035,54724076010661,2000,43.804963,-83.398705,63,5,107.429,,,,,89.246,,,,,107.758,,,,,45.966,,,,,,,24.058,,,
128,20035,54557375010661,2000,45.056104,-83.492584,7,5,38.461,,,,,47.045,,,,,49.707,,,,,70.593,,,,,,,89.465,,,
129,20035,55731001010661,2002,45.110287,-84.795415,137,5,,,176.124,,,,,191.935,,,,,212.274,,,,,,213.438,,,,,,,255.168
130,20036,55195461010661,2001,44.238347,-85.873609,101,5,,124.716,,,,,131.789,,,,,169.731,,,,,172.435,,,,,,,140.026,,
131,20036,54833890010661,2000,44.124274,-86.034314,85,5,80.088,,,,,83.763,,,,,100.821,,,,,,121.637,,,,,,,137.839,,
132,20036,54783149010661,2000,42.270307,-85.676119,77,5,243.091,,,,,259.879,,,,,263.354,,,,,,257.051,,,,,,,296.031,,
133,20036,55492612010661,2001,44.643065,-84.349247,135,5,,103.476,,,,,109.055,,,,,105.318,,,,,,121.355,,,,,,,114.311,
134,20037,55476967010661,2001,44.855821,-83.917485,135,5,,26.185,,,,,42.592,,,,,60.95,,,,,,70.894,,,,,,,71.329,
135,20038,55363692010661,2001,43.288017,-86.038766,121,5,,129.886,,,,,139.727,,,,,161.457,,,,,,175.781,,,,,,,190.306,
136,20038,62235699010661,2000,44.287538,-85.806588,165,5,130.558,,,,,146.023,,,,,148.512,,,,,,138.769,,,,,,,119.68,,
137,20038,54648921010661,2000,46.239189,-87.90086,43,5,14.001,,,,,27.754,,,,,61.183,,,,,81.165,,,,,,,88.981,,,
138,20038,55307089010661,2000,44.703911,-84.333782,135,5,162.753,,,,,178.336,,,,,173.217,,,,,,90.56,,,,,,,111.781,,
139,20039,54627278010661,2001,46.381579,-86.786461,3,5,,158.577,,,,,168.341,,,,,186.026,,,,,,,227.316,,,,,,,218.378
140,20039,54830544010661,2000,44.052463,-85.926525,85,5,80.265,,,,,96.172,,,,,125.232,,,,,158.199,,,,,,,187.468,,,
141,20039,54731166010661,2000,42.842622,-85.26264,67,5,21.433,,,,,34.272,,,,,64.019,,,,,,82.279,,,,,,,96.782,,
142,20040,54742271010661,2002,42.714336,-86.125958,5,5,,,107.828,,,,,127.345,,,,,154.786,,,,,,174.161,,,,,,,127.4
143,20040,54726639010661,2001,46.241796,-85.047868,33,5,,132.149,,,,,141.172,,,,,148.44,,,,,,152.34,,,,,,,150.528,
144,20040,55367577010661,2000,44.215494,-84.810847,143,5,42.676,,,,,51.723,,,,,67.049,,,,,80.022,,,,,,,94.157,,,
145,20041,54542540010661,2000,44.616886,-83.730387,1,5,141.607,,,,,142.981,,,,,132.164,,,,,131.237,,,,,,,134.177,,,
146,20041,55277709010661,2002,43.921438,-85.971,85,5,,,173.322,,,,,178.426,,,,,142.453,,,,,,155.465,,,,,,,26.141
147,20041,55390080010661,2002,44.427086,-86.02547,101,5,,,46.513,,,,,57.382,,,,,67.827,,,,,,77.612,,,,,,,78.797
148,20042,55208187010661,2001,46.669498,-87.890229,103,5,,131.994,,,,,138.985,,,,,134.767,,,,,,146.963,,,,,,,158.898,
149,20042,54671059010661,2001,42.206665,-86.351319,21,5,,144.202,,,,,170.813,,,,,205.681,,,,,,181.282,,,,,,,141.814,
150,20042,55303728010661,2002,41.945539,-84.068947,91,5,,,94.12,,,,,95.058,,,,,125.515,,,,,,152.666,,,,,,,159.231
151,20042,54662169010661,2000,42.966565,-83.490502,49,5,56.525,,,,,49.986,,,,,54.807,,,,,,61.695,,,,,,,33.38,,
152,20042,55061705010661,2002,44.521222,-85.797233,55,5,,,2.205,,,,,6.986,,,,,11.249,,,,,,16.676,,,,,,,12.666
153,20043,60120444010661,2002,46.494127,-86.29822,153,5,,,173.495,,,,,175.514,,,,,202.289,,,,,,206.866,,,,,,,196.907
154,20044,55309848010661,2002,42.744011,-84.060608,93,5,,,93.944,,,,,117.716,,,,,103.119,,,,,,142.455,,,,,,,173.866
155,20044,54668955010661,2001,44.548943,-85.989954,19,5,,91.591,,,,,99.485,,,,,124.46,,,,,,,161.044,,,,,,,200.629
156,20045,55288247010661,2000,46.652561,-89.043302,131,5,129.888,,,,,147.794,,,,,128.051,,,,,80.856,,,,,,,90.334,,,
157,20045,54972403010661,2001,46.405453,-88.651551,71,5,,32.52,,,,,35.838,,,,,42.134,,,,,,51.983,,,,,,,42.979,
158,20045,54610904010661,2001,44.678394,-83.543133,1,5,,201.898,,,,,233.515,,,,,264.309,,,,,307.595,,,,,,,313.325,,
159,20045,54976324010661,2001,43.622799,-85.030533,73,5,,24.546,,,,,31.826,,,,,45.569,,,,,,,56.304,,,,,,,66.984
160,20046,54735669010661,2002,46.388058,-86.90144,3,5,,,54.488,,,,,65.496,,,,,65.42,,,,,,36.433,,,,,,,13.313
161,20046,60363366010661,2001,44.410465,-85.373993,165,5,,8.296,,,,,8.011,,,,,15.852,,,,,,19.936,,,,,,,20.403,
162,20046,54693020010661,2000,46.315223,-89.31544,53,5,226.502,,,,,251.558,,,,,275.607,,,,,,261.913,,,,,,,290.673,,
163,20046,54975878010661,2001,43.701305,-84.65724,73,5,,62.671,,,,,87.517,,,,,113.445,,,,,,151.767,,,,,,,186.758,
164,20047,54983445010661,2001,42.325722,-84.267024,75,5,,251.444,,,,,248.17,,,,,251.944,,,,,283.448,,,,,,,228.451,,
165,20047,55497904010661,2001,44.536543,-83.913034,135,5,,117.596,,,,,172.18,,,,,186.443,,,,,,250.683,,,,,,,279.261,
166,20047,54934774010661,2000,46.072146,-84.561377,97,5,147.485,,,,,156.923,,,,,152.26,,,,,180.381,,,,,,,163.155,,,
167,20047,54669874010661,2001,44.770796,-86.064747,19,5,,314.607,,,,,333.967,,,,,329.574,,,,,,336.297,,,,,,,190.689,
168,20047,55650505010661,2002,46.969442,-89.130744,131,5,,,116.582,,,,,130.073,,,,,132.212,,,,,,156.05,,,,,,,173.869
169,20048,55565518010661,2001,44.180566,-84.77244,143,5,,60.763,,,,,50.248,,,,,63.264,,,,,,92.004,,,,,,,109.576,
170,20048,60185313010661,2002,42.425309,-83.855964,161,5,,,140.197,,,,,161.997,,,,,231.729,,,,,,283.279,,,,,,,280.895
171,20049,55379609010661,2002,46.056287,-84.709384,97,5,,,20.22,,,,,31.989,,,,,52.788,,,,,,76.944,,,,,,,102.787
172,20049,55613812010661,2002,43.61215,-85.930419,123,5,,,126.878,,,,,123.735,,,,,101.326,,,,,,120.892,,,,,,,142.992
173,20049,54944034010661,2000,44.278244,-85.940215,101,5,140.486,,,,,158.241,,,,,176.133,,,,,,178.534,,,,,,,202.349,,
174,20049,55311646010661,2000,44.589526,-84.26629,135,5,7.967,,,,,15.166,,,,,19.647,,,,,,30.331,,,,,,,38.904,,
175,20050,62275116010661,2000,42.280176,-83.479141,163,5,116.503,,,,,80.775,,,,,102.235,,,,,114.745,,,,,,,122.921,,,
176,20050,54945531010661,2001,46.271995,-88.234038,71,5,,90.425,,,,,109.809,,,,,101.472,,,,,,114.361,,,,,,,117.053,
177,20050,54700346010661,2000,41.737796,-84.566657,59,5,16.455,,,,,24.142,,,,,24.728,,,,,6.906,,,,,,,5.642,,,
178,20050,54542824010661,2000,44.655989,-83.487801,1,5,191.689,,,,,188.828,,,,,219.534,,,,,254.924,,,,,,,271.555,,,
179,20050,55051556010661,2001,43.921601,-85.94548,85,5,,88.576,,,,,111.363,,,,,117.671,,,,,,129.199,,,,,,,168.716,
180,20050,55495345010661,2001,44.632061,-84.196629,135,5,,34.628,,,,,48.325,,,,,73.464,,,,,102.187,,,,,,,136.567,,
181,20050,55529958010661,2001,45.373347,-83.977344,141,5,,38.464,,,,,46.14,,,,,60.094,,,,,81.38,,,,,,,146.582,,
182,20051,55407388010661,2000,46.124241,-86.337225,153,5,15.56,,,,,16.452,,,,,16.834,,,,,,19.228,,,,,,,17.213,,
183,20051,55459349010661,2001,46.658338,-89.183396,131,5,,28.352,,,,,31.427,,,,,24.912,,,,,,28.707,,,,,,,51.706,
184,20051,54644677010661,2001,44.112628,-84.122913,11,5,,61.533,,,,,70.994,,,,,72.293,,,,,,69.095,,,,,,,73.092,
185,20051,55637470010661,2001,43.44078,-83.387548,157,5,,24.825,,,,,31.627,,,,,45.848,,,,,,,21.069,,,,,,,42.017
186,20052,54562495010661,2000,44.121111,-84.104788,11,5,16.513,,,,,30.276,,,,,49.154,,,,,,67.617,,,,,,,28.539,,
187,20052,55391361010661,2000,43.582708,-82.840083,151,5,12.902,,,,,24.623,,,,,21.139,,,,,,26.043,,,,,,,49.496,,
188,20052,55365084010661,2001,43.293818,-86.240805,121,5,,54.402,,,,,65.679,,,,,90.44,,,,,,115.916,,,,,,,146.052,
