plot_id,plt_cn,eco
20091,65762189010661,50
20092,65052603010661,52
20092,65172249010661,50
20092,68773043010661,49
20092,65764557010661,48
20093,92348245010661,51
20093,68750087010661,48
20093,65848692010661,50
20094,68690294010661,51
20095,65908651010661,50
20096,65978167010661,50
20097,65875348010661,51
20098,68678105010661,50
20098,65278190010661,48
20099,68699515010661,48
20100,65235256010661,51
20101,65055344010661,50
20101,65768684010661,51
20104,68859355010661,50
20105,65158056010661,46
20107,68679175010661,52
20108,68664805010661,50
20108,68689398010661,51
20108,68698497010661,48
20108,65805727010661,51
20109,64741961010661,50
20109,65731871010661,49
20110,68644602010661,50
20110,65243191010661,52
20111,65845799010661,47
20112,64738550010661,51
20112,65071469010661,51
20112,65860356010661,50
20113,65950316010661,50
20113,68749004010661,51
20114,65160874010661,47
20114,65750687010661,50
20114,68688838010661,51
20114,65755935010661,49
20115,65861452010661,52
20115,68845387010661,52
20115,68865817010661,51
20115,65741608010661,52
20116,65862462010661,51
20116,65274431010661,47
20116,65676081010661,51
20116,68697335010661,49
20116,65761797010661,51
20117,66078309010661,49
20117,68811307010661,51
20117,65572200010661,50
20118,65794398010661,50
20118,68751515010661,47
20118,65149398010661,50
20118,65936415010661,50
20119,65113254010661,46
20119,65209902010661,49
20119,65682304010661,50
20120,64969596010661,50
20120,68855027010661,50
20120,65219081010661,52
20120,65677230010661,51
20121,65097519010661,50
20121,65278272010661,48
20123,65999498010661,46
20123,65895650010661,50
20123,65870457010661,50
20123,66053463010661,50
20124,64942497010661,50
20125,92628232010661,49
20126,65119402010661,52
20126,68651790010661,50
20126,65728163010661,51
20127,65185452010661,50
20127,64794974010661,51
20127,65573095010661,50
20128,65869565010661,52
20128,68642693010661,50
20128,65781316010661,51
20128,65185381010661,50
20128,66001763010661,51
20129,64870619010661,46
20129,92308792010661,48
20129,68887632010661,47
20129,65238047010661,51
20130,64734098010661,47
20132,65000667010661,50
20132,68850960010661,50
20133,64760366010661,52
20134,65724602010661,52
20134,92261875010661,50
20134,68809596010661,51
20135,65187087010661,50
20135,65793055010661,50
20136,65844373010661,51
20136,65580760010661,50
20136,65851764010661,50
20137,66057552010661,52
20137,65993345010661,47
20137,65252676010661,50
20138,65191124010661,50
20138,65217425010661,51
20138,65804048010661,51
20139,92364633010661,48
20140,68664436010661,50
20140,65983925010661,51
20141,68874723010661,49
20141,66059221010661,51
20141,65720561010661,51
20142,68841940010661,52
20142,65218939010661,52
20142,65847963010661,50
20143,66008802010661,48
20144,65943388010661,50
20144,68857732010661,50
20144,66050977010661,51
20144,65775964010661,52
20145,65153126010661,51
20146,68834624010661,50
20146,92272917010661,51
20146,65316903010661,51
20146,65357485010661,51
20147,65577928010661,50
20148,65941027010661,50
20148,65306437010661,51
20149,68788020010661,50
20150,64749169010661,51
20151,65192966010661,50
20151,65166433010661,51
20152,66081058010661,51
20152,65809355010661,50
20153,65995827010661,51
20153,64994448010661,50
20153,65217120010661,51
20153,65881822010661,51
20154,68689832010661,51
20154,64989415010661,50
20155,68775335010661,49
20155,68843981010661,52
20155,65807943010661,50
20156,65758691010661,51
20156,65074043010661,50
20157,65890046010661,47
20158,65161793010661,47
20159,68664290010661,50
20159,92642935010661,50
20159,68809671010661,51
20159,65275856010661,49
20159,65234364010661,51
20160,66053401010661,50
20160,65124526010661,51
20161,68678255010661,48
20162,65866996010661,51
20162,65162434010661,50
20163,68853177010661,51
20164,68884165010661,51
20165,68657692010661,50
20166,68848739010661,50
20166,68890114010661,50
20166,65124858010661,51
20166,65243597010661,52
20167,68800680010661,50
20167,65270411010661,48
20167,65833439010661,49
20167,65681764010661,50
20168,65939226010661,50
20168,65935268010661,50
20169,68990390010661,52
20169,65732881010661,48
20170,68808296010661,50
20170,66077520010661,49
20171,68858917010661,50
20173,68840941010661,52
20174,68688719010661,51
20174,65152378010661,51
20174,65195643010661,50
20174,68684217010661,51
20174,65061619010661,50
20175,68695843010661,51
20175,68778917010661,49
20175,65908112010661,50
20176,92215250010661,51
20176,64939920010661,50
20176,65318535010661,52
20177,65124077010661,51
20177,65094049010661,50
20177,65760894010661,51
20178,92311713010661,50
20178,65744095010661,51
20179,65826524010661,48
20180,65126796010661,49
20182,92358615010661,50
20182,68788427010661,50
20182,65908238010661,51
20183,65200877010661,50
20183,65804433010661,51
20184,65204361010661,51
20184,65182623010661,51
20185,65869082010661,52
20186,65868067010661,52
20186,68693355010661,51
20186,65731109010661,51
20186,68841300010661,52
20187,65881549010661,50
20188,65201578010661,50
20189,66082933010661,51
20189,65056058010661,50
20189,68893748010661,50
20189,65995983010661,51
20191,68862634010661,50
20191,68835010010661,50
20191,65724285010661,52
20191,65168995010661,50
20191,65070013010661,51
20192,68890271010661,51
20192,65105711010661,50
20192,65259941010661,50
20192,64784381010661,52
20192,64976948010661,51
20193,68748688010661,51
20193,65910199010661,49
20193,65802132010661,50
20193,65588397010661,50
20194,68889569010661,50
20194,65244496010661,51
20195,65934411010661,50
20195,66052514010661,51
20195,92317876010661,52
20195,65219943010661,52
20195,65868765010661,52
20196,65857369010661,50
20196,64752042010661,51
20196,68867390010661,50
20196,65111573010661,50
20196,65681812010661,50
20197,68684066010661,51
20197,65154781010661,52
20197,65991557010661,52
20198,65106199010661,50
20199,65772591010661,52
20200,65247038010661,51
20200,65166694010661,51
20200,65127915010661,49
20201,65754228010661,49
20202,65064943010661,50
20203,92215592010661,51
20203,65767536010661,51
20204,92215694010661,51
20204,65128051010661,49
20205,68691861010661,52
20205,65969176010661,50
20206,65128344010661,49
20206,92215765010661,51
20206,68809510010661,51
20206,68889899010661,50
20206,65863771010661,52
20206,66055815010661,51
20207,65675500010661,51
20207,65064030010661,50
20207,65128515010661,49
20207,65949386010661,51
20207,65822122010661,50
20207,65985393010661,50
20208,65675759010661,51
20208,65128703010661,49
20209,65049451010661,52
20209,64913495010661,47
20209,65128819010661,49
20210,65991025010661,52
20210,68644459010661,50
20210,92227974010661,51
20210,65123923010661,51
20213,65901195010661,50
20213,65986634010661,50
20213,92354086010661,51
20213,92625280010661,51
20213,65779954010661,50
20214,65165451010661,50
