PLOT,FIA_PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_2000_Mgha,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha,BIOM_2023_Mgha,BIOM_2024_Mgha,BIOM_2025_Mgha
58,20021,63698734010661,2000,45.988234,-89.08019,125,5,114.287,,,,,116.624,,,,,145.382,,,,,,172.112,,,,,,,199.98,,
59,20022,63787865010661,2000,45.680903,-89.065403,85,5,91.654,,,,,102.965,,,,,113.295,,,,,,135.805,,,,,,,131.913,,
60,20022,64412502010661,2001,44.453377,-92.073554,91,5,,138.297,,,,,157.351,,,,,171.482,,,,,194.829,,,,,,,178.021,,
61,20022,64348588010661,2001,42.875163,-87.927069,79,5,,122.116,,,,,143.054,,,,,159.28,,,,,,,161.98,,,,,,,183.396
62,20022,64243183010661,2001,45.617143,-89.036322,41,5,,87.772,,,,,108.443,,,,,121.767,,,,,,116.949,,,,,,,86.196,
63,20023,64166277010661,2001,44.100345,-87.949216,71,5,,37.813,,,,,45.396,,,,,54.807,,,,,59.951,,,,,,,42.374,,
64,20024,63749742010661,2000,43.856099,-87.820805,117,5,44.42,,,,,56.59,,,,,78.79,,,,,86.064,,,,,,,112.946,,,
65,20024,64531280010661,2001,45.074826,-91.012137,17,5,,109.533,,,,,71.435,,,,,79.504,,,,,,93.157,,,,,,,104.016,
66,20024,64584393010661,2002,44.659629,-91.785971,91,5,,,58.215,,,,,72.99,,,,,87.643,,,,,,120.08,,,,,,,152.891
67,20025,64435127010661,2001,44.284318,-89.251651,97,5,,67.762,,,,,85.581,,,,,93.518,,,,,,,113.35,,,,,,,134.62
68,20025,63697738010661,2000,46.171922,-89.635705,125,5,249.395,,,,,259.537,,,,,297.822,,,,,,324.947,,,,,,,292.233,,
69,20025,64316049010661,2002,43.767409,-87.78725,117,5,,,140.487,,,,,143.568,,,,,162.506,,,,,,196.276,,,,,,,173.247
70,20026,64701904010661,2000,46.330384,-91.417115,7,5,64.153,,,,,85.457,,,,,87.808,,,,,,98.302,,,,,,,109.228,,
71,20026,64402466010661,2002,43.416528,-88.264714,131,5,,,121.176,,,,,121.015,,,,,134.44,,,,,,134.961,,,,,,,1.41
72,20026,64128146010661,2002,42.957838,-88.717404,55,5,,,65.324,,,,,87.318,,,,,103.298,,,,,,104.436,,,,,,,49.262
73,20027,64057992010661,2001,44.640726,-88.577715,115,5,,35.339,,,,,40.17,,,,,61.033,,,,,,69.932,,,,,,,77.338,
74,20027,64613528010661,2002,46.365033,-91.855147,31,5,,,99.76,,,,,102.839,,,,,104.185,,,,,,129.628,,,,,,,155.85
75,20028,63745301010661,2000,45.900178,-90.730493,113,5,37.811,,,,,40.445,,,,,50.432,,,,,59.571,,,,,,,63.353,,,
76,20028,63812562010661,2001,43.245941,-88.293132,131,5,,324.21,,,,,294.703,,,,,313.958,,,,,,297.473,,,,,,,167.706,
77,20029,63620507010661,2000,44.509273,-87.584701,61,5,104.593,,,,,129.736,,,,,133.124,,,,,,132.509,,,,,,,139.748,,
78,20029,64605974010661,2002,44.6848,-87.656415,29,5,,,117.59,,,,,123.825,,,,,148.428,,,,,,162.823,,,,,,,159.949
79,20030,63781658010661,2000,45.37426,-88.581016,83,5,89.236,,,,,91.716,,,,,94.182,,,,,,93.389,,,,,,,124.728,,
80,20030,64056050010661,2001,44.846917,-89.17668,115,5,,1.406,,,,,1.756,,,,,2.898,,,,,,3.18,,,,,,,5.179,
81,20030,64321356010661,2001,45.407192,-87.86148,75,5,,37.35,,,,,43.128,,,,,49.806,,,,,,56.235,,,,,,,68.667,
82,20030,63840014010661,2001,45.935608,-90.06138,99,5,,240.177,,,,,237.768,,,,,215.883,,,,,,,221.586,,,,,,,266.709
83,20030,64431286010661,2001,44.495806,-89.644936,97,5,,53.573,,,,,45.867,,,,,55.051,,,,,,58.345,,,,,,,68.412,
84,20031,63739275010661,2000,45.799523,-91.265715,113,5,23.681,,,,,34.911,,,,,40.843,,,,,78.975,,,,,,,120.071,,,
85,20031,63621586010661,2000,43.859288,-90.945056,63,5,163.6,,,,,190.223,,,,,202.134,,,,,,229.835,,,,,,,248.059,,
86,20031,63789037010661,2001,43.430868,-90.884449,123,5,,93.412,,,,,105.674,,,,,114.201,,,,,,134.029,,,,,,,109.088,
87,20031,64368045010661,2001,44.737026,-88.008543,83,5,,23.636,,,,,25.336,,,,,36.922,,,,,,47.856,,,,,,,53.181,
88,20031,64565211010661,2002,45.702895,-89.50625,85,5,,,13.029,,,,,14.381,,,,,16.629,,,,,,18.559,,,,,,,18.328
89,20032,64667048010661,2000,44.001628,-89.920295,1,5,68.401,,,,,74.813,,,,,93.946,,,,,,118.105,,,,,,,143.44,,
90,20032,63791285010661,2000,45.870747,-89.798351,85,5,31.328,,,,,31.535,,,,,38.718,,,,,,52.211,,,,,,,60.751,,
91,20034,64149976010661,2002,45.323732,-89.380378,67,5,,,20.462,,,,,20.367,,,,,16.452,,,,,,31.303,,,,,,,37.829
92,20035,63644056010661,2000,45.698972,-88.155044,75,5,30.673,,,,,54.895,,,,,69.797,,,,,,98.129,,,,,,,92.883,,
93,20035,64194294010661,2001,45.120313,-87.096515,29,5,,108.137,,,,,96.919,,,,,81.545,,,,,,92.558,,,,,,,109.771,
94,20035,64300148010661,2002,46.345891,-90.72713,3,5,,,102.706,,,,,109.758,,,,,105.365,,,,,,104.214,,,,,,,88.364
95,20036,63626258010661,2000,45.142785,-88.736617,67,5,170.752,,,,,159.416,,,,,154.652,,,,,164.921,,,,,,,196.694,,,
96,20036,64447814010661,2001,46.523468,-91.480505,7,5,,65.006,,,,,79.378,,,,,79.893,,,,,,121.479,,,,,,,159.383,
97,20036,64268495010661,2001,45.779928,-88.689939,41,5,,3.995,,,,,7.552,,,,,16.525,,,,,26.978,,,,,,,44.736,,
98,20037,63696075010661,2000,46.019279,-89.911321,125,5,233.551,,,,,211.189,,,,,183.682,,,,,149.938,,,,,,,175.873,,,
99,20037,64232113010661,2002,44.520638,-88.176002,9,5,,,104.221,,,,,101.623,,,,,132.139,,,,,,139.198,,,,,,,125.586
100,20037,64038075010661,2002,45.029883,-92.654307,109,5,,,24.542,,,,,36.6,,,,,51.955,,,,,,60.53,,,,,,,86.722
101,20038,63750470010661,2000,43.595295,-88.072433,117,5,58.22,,,,,73.381,,,,,59.372,,,,,67.756,,,,,,,46.812,,,
102,20038,64105530010661,2002,46.00239,-90.039805,51,5,,,128.895,,,,,120.189,,,,,142.352,,,,,,169.569,,,,,,,191.217
103,20040,63630154010661,2000,45.501409,-89.479041,69,5,114.898,,,,,133.957,,,,,141.47,,,,,151.668,,,,,,,160.96,,,
104,20040,64692727010661,2000,46.866905,-91.041696,7,5,121.422,,,,,136.095,,,,,168.148,,,,,,197.34,,,,,,,201.619,,
105,20040,64663963010661,2002,45.677212,-88.587801,41,5,,,135.616,,,,,143.775,,,,,150.114,,,,,,161.645,,,,,,,187.889
106,20041,63669622010661,2000,45.760608,-88.264262,37,5,68.565,,,,,74.231,,,,,89.753,,,,,103.203,,,,,,,87.246,,,
107,20041,64414544010661,2001,44.7343,-92.677573,93,5,,32.265,,,,,37.818,,,,,45.887,,,,,,30.995,,,,,,,31.832,
108,20042,63747316010661,2000,44.752818,-88.513967,115,5,10.539,,,,,16.043,,,,,22.442,,,,,25.392,,,,,,,35.752,,,
109,20042,63850889010661,2001,45.500839,-91.112792,107,5,,10.703,,,,,17.36,,,,,16.019,,,,,,20.255,,,,,,,26.392,
110,20042,63825109010661,2001,44.409067,-89.993378,141,5,,51.562,,,,,58.078,,,,,71.222,,,,,85.676,,,,,,,36.728,,
111,20042,64573859010661,2001,43.133913,-89.271647,25,5,,63.239,,,,,94.4,,,,,93.921,,,,,,120.211,,,,,,,124.462,
112,20043,63869964010661,2000,45.678838,-92.655444,13,5,19.436,,,,,22.503,,,,,30.446,,,,,,25.847,,,,,,,26.984,,
113,20044,63680624010661,2000,42.920683,-91.140218,43,5,65.027,,,,,67.408,,,,,73.253,,,,,78.149,,,,,,,100.801,,,
114,20044,64497054010661,2001,44.49524,-91.531002,11,5,,219.004,,,,,238.492,,,,,263.361,,,,,,311.399,,,,,,,198.559,
115,20044,64089988010661,2002,43.068677,-89.849623,49,5,,,19.677,,,,,23.07,,,,,36.621,,,,,,19.385,,,,,,,25.797
116,20045,64427450010661,2002,44.096865,-89.084209,137,5,,,190.313,,,,,167.549,,,,,163.405,,,,,,179.154,,,,,,,203.855
117,20046,64483790010661,2001,46.43308,-91.334628,7,5,,229.175,,,,,230.36,,,,,244.504,,,,,,,247.432,,,,,,,260.238
118,20046,64411624010661,2001,44.616156,-91.863518,91,5,,66.676,,,,,73.102,,,,,70.059,,,,,,87.917,,,,,,,75.466,
119,20047,63825349010661,2000,45.862478,-90.224292,99,5,67.889,,,,,78.941,,,,,91.263,,,,,106.028,,,,,,,138.251,,,
120,20047,63768059010661,2000,44.999214,-88.550662,78,5,14.825,,,,,18.851,,,,,24.208,,,,,,29.014,,,,,,,28.786,,
121,20047,64430243010661,2001,44.669497,-89.232309,97,5,,60.646,,,,,73.633,,,,,97.175,,,,,,,109.747,,,,,,,129.702
122,20047,64567559010661,2001,43.408483,-91.191498,23,5,,321.363,,,,,367.427,,,,,410.075,,,,,,495.275,,,,,,,436.502,
123,20048,64680547010661,2000,46.143064,-90.791645,3,5,82.255,,,,,76.062,,,,,80.299,,,,,76.755,,,,,,,88.73,,,
124,20049,64699336010661,2000,46.223245,-91.193883,7,5,149.232,,,,,151.553,,,,,143.559,,,,,151.545,,,,,,,154.127,,,
125,20049,64355141010661,2002,46.095931,-89.507305,125,5,,,113.901,,,,,111.728,,,,,122.166,,,,,,128.977,,,,,,,96.774
126,20050,63863135010661,2000,44.595471,-91.656861,11,5,111.401,,,,,136.062,,,,,166.356,,,,,189.586,,,,,,,229.224,,,
127,20050,64388585010661,2001,45.531994,-89.407635,85,5,,20.875,,,,,22.064,,,,,25.978,,,,,,30.089,,,,,,,28.353,
128,20051,63714127010661,2000,43.999931,-89.536646,137,5,117.026,,,,,116.089,,,,,126.424,,,,,137.223,,,,,,,144.549,,,
129,20051,63847825010661,2000,43.571921,-89.379055,21,5,116.578,,,,,127.8,,,,,154.352,,,,,164.324,,,,,,,204.134,,,
130,20051,64512152010661,2001,45.689836,-92.129665,13,5,,22.351,,,,,40.335,,,,,52.42,,,,,,51.624,,,,,,,83.992,
131,20051,63650049010661,2000,45.250881,-87.756329,75,5,65.745,,,,,74.661,,,,,93.362,,,,,,74.609,,,,,,,94.709,,
132,20051,63749908010661,2000,43.602587,-87.984815,117,5,57.983,,,,,29.036,,,,,38.611,,,,,,51.159,,,,,,,40.605,,
133,20051,63987388010661,2002,45.731496,-90.51902,99,5,,,69.834,,,,,88.691,,,,,83.685,,,,,,99.649,,,,,,,120.199
134,20052,63725626010661,2000,45.567009,-91.242207,107,5,114.258,,,,,88.198,,,,,96.431,,,,,28.422,,,,,,,33.438,,,
135,20052,63717060010661,2000,44.668844,-90.106591,141,5,149.303,,,,,171.605,,,,,178.713,,,,,194.297,,,,,,,235.056,,,
136,20052,63779346010661,2001,44.411963,-91.506106,121,5,,145.269,,,,,164.479,,,,,163.052,,,,,,188.683,,,,,,,200.909,
137,20053,63758650010661,2000,45.323534,-90.693517,119,5,86.943,,,,,99.308,,,,,111.822,,,,,,121.513,,,,,,,134.395,,
138,20053,64568683010661,2001,43.288951,-90.803587,23,5,,17.209,,,,,17.773,,,,,9.267,,,,,9.777,,,,,,,9.955,,
139,20053,64209765010661,2002,46.873713,-91.063559,7,5,,,101.784,,,,,99.668,,,,,83.776,,,,,,94.937,,,,,,,80.127
140,20054,63693355010661,2000,43.545268,-91.23774,123,5,202.706,,,,,262.796,,,,,267.126,,,,,291.908,,,,,,,314.206,,,
141,20054,64208594010661,2002,46.232174,-91.228934,7,5,,,178.189,,,,,198.353,,,,,200.236,,,,,,221.393,,,,,,,247.421
142,20055,64070611010661,2001,45.064198,-90.82676,119,5,,13.21,,,,,20.867,,,,,30.361,,,,,,28.194,,,,,,,40.774,
143,20055,64112994010661,2001,44.180508,-90.175787,57,5,,53.763,,,,,58.897,,,,,66.065,,,,,,59.908,,,,,,,58.776,
144,20056,63679922010661,2000,42.68027,-90.664087,43,5,46.267,,,,,50.838,,,,,55.171,,,,,63.171,,,,,,,81.633,,,
145,20056,64496374010661,2002,45.525775,-88.262383,75,5,,,32.995,,,,,38.965,,,,,44.801,,,,,,41.727,,,,,,,55.028
146,20057,63809229010661,2000,45.383103,-92.461056,95,5,139.266,,,,,159.561,,,,,156.619,,,,,157.498,,,,,,,175.941,,,
147,20057,63708425010661,2000,43.291967,-88.256827,131,5,51.171,,,,,57.183,,,,,72.159,,,,,,9.344,,,,,,,79.144,,
148,20058,63853696010661,2000,43.081995,-90.91883,23,5,179.12,,,,,181.815,,,,,198.769,,,,,,237.431,,,,,,,236.348,,
149,20058,63809677010661,2000,45.428625,-92.301084,95,5,7.838,,,,,7.963,,,,,10.51,,,,,,11.139,,,,,,,9.658,,
150,20058,64064087010661,2001,43.787096,-88.042696,117,5,,179.786,,,,,208.548,,,,,205.199,,,,,,210.215,,,,,,,244.832,
151,20059,63626508010661,2000,45.450906,-88.970325,67,5,43.811,,,,,55.46,,,,,75.483,,,,,83.876,,,,,,,90.523,,,
152,20059,64678103010661,2000,46.270457,-90.845851,3,5,46.892,,,,,51.325,,,,,60.629,,,,,93.663,,,,,,,138.143,,,
153,20059,64097122010661,2002,46.311973,-90.139853,51,5,,,29.724,,,,,38.216,,,,,49.385,,,,,,60.437,,,,,,,65.895
154,20060,63819869010661,2001,44.048343,-89.345444,137,5,,15.017,,,,,30.164,,,,,62.569,,,,,,70.91,,,,,,,111.195,
155,20060,63851290010661,2001,45.442638,-91.055826,107,5,,62.125,,,,,65.39,,,,,75.3,,,,,,94.178,,,,,,,115.055,
156,20060,64290078010661,2002,44.106084,-89.872972,1,5,,,115.234,,,,,108.744,,,,,89.651,,,,,,29.193,,,,,,,27.998
157,20060,64212250010661,2002,46.702746,-91.184289,7,5,,,6.407,,,,,19.73,,,,,40.681,,,,,,72.199,,,,,,,94.012
158,20061,64305135010661,2002,44.455278,-89.775116,141,5,,,69.668,,,,,69.784,,,,,80.478,,,,,,95.193,,,,,,,106.052
159,20061,64261643010661,2002,45.110348,-90.964618,17,5,,,44.991,,,,,45.95,,,,,49.931,,,,,,55.579,,,,,,,51.792
160,20062,63691346010661,2000,46.398537,-90.149092,51,5,243.04,,,,,255.408,,,,,262.841,,,,,268.875,,,,,,,94.851,,,
161,20062,64301728010661,2002,44.556619,-90.256601,141,5,,,202.941,,,,,210.567,,,,,185.222,,,,,,220.657,,,,,,,244.187
162,20063,63683101010661,2000,43.888479,-89.086008,47,5,104.83,,,,,116.488,,,,,134.043,,,,,,145.44,,,,,,,177.436,,
163,20063,63705604010661,2000,45.659637,-91.991296,129,5,9.111,,,,,15.91,,,,,34.631,,,,,56.98,,,,,,,82.393,,,
